Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2646013585,44,0.2646013585,11.83425339,-15.0267277,9.7449432,-1.741218739e-06,5.399023243,0.0001648458018,11.96597591,-23.43554901,-6.998986961,-7.484647642e-05,29.69095344,-0.001466650778,11.83425339,-15.0267277,9.7449432,-1.741218739e-06,5.399023243,0.0001648458018,11.96597591,-23.43554901,-6.998986961,-7.484647642e-05,29.69095344,-0.001466650778
q1,1,53,0.6561600466,66,0.3526653586,5.48755272,-15.02672366,9.74494499,-1.741218739e-06,5.399023243,0.0001648458018,5.542033889,-23.43555195,-6.998990633,-7.847383728e-05,29.69094977,-0.001460774457,10.84688057,-7.732379084,14.70460912,-0.04709716711,5.790529069,-0.0113701073,6.087930356,-23.57355567,-7.193033991,-0.009842634559,29.6818684,-0.01299602277
peak,1,60,0.9272486008,95,0.3558178955,0.3674394528,-15.02672041,9.744946435,-1.741218739e-06,5.399023243,0.0001648458018,0.3596072267,-23.43555432,-6.998993596,-8.140016065e-05,29.6909468,-0.001456033817,0.02694053642,-2.093185402,18.3435067,-0.01753974216,6.183303111,-0.0148655475,-0.1524936753,-23.63786123,-7.307655035,-0.01548830947,29.67803405,-0.01648596925
q3,1,68,0.6555531274,124,0.351426727,-5.488137311,-15.02671668,9.744948087,-1.741218739e-06,5.399023243,0.0001648458018,-5.567233754,-23.43555703,-6.998996985,-8.474682706e-05,29.69094342,-0.001450612221,-10.8164556,-8.046037852,14.49138548,0.01581149264,5.761487975,-0.0113701073,-6.532386616,-23.57117057,-7.187682572,-0.01423572156,29.68210584,-0.01298489636
Tail,1,78,0.2726195844,146,0.2726195844,-12.51223064,-15.02671222,9.744950069,-1.741218739e-06,5.399023243,0.0001648458018,-12.67681251,-23.43556029,-6.99900105,-8.876134146e-05,29.69093935,-0.001444108713,-12.51223064,-15.02671222,9.744950069,-1.741218739e-06,5.399023243,0.0001648458018,-12.67681251,-23.43556029,-6.99900105,-8.876134146e-05,29.69093935,-0.001444108713
