Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.3985794156,0,0.3985794156
1,0.3988262589,1,0.3973486396
2,0.3995543589,2,0.3938926096
3,0.4007368981,3,0.3884116218
4,0.4023364777,4,0.3811262643
5,0.4043053625,5,0.3724793134
6,0.406585594,6,0.3632336032
7,0.4091090303,7,0.3557752725
8,0.4117973761,8,0.3536467637
9,0.4145622708,9,0.3525370461
10,0.4173055046,10,0.3524048072
11,0.419919434,11,0.3531139615
12,0.4222876693,12,0.354455044
13,0.4242860997,13,0.3561596247
14,0.4257843191,14,0.3579097309
15,0.4266474979,15,0.3593438625
16,0.4267387352,16,0.3601156313
17,0.4259218983,17,0.3603118183
18,0.4240649306,18,0.3599965061
19,0.4210435745,19,0.3592396214
20,0.4199836995,20,0.358116283
21,0.4195653563,21,0.3567060094
22,0.4180579131,22,0.3550918202
23,0.415361402,23,0.3533592715
24,0.4113893072,24,0.3515954628
25,0.4060718698,25,0.3498880472
26,0.3993592393,26,0.3482899086
27,0.3912243159,27,0.3466469384
28,0.3816651186,28,0.3447848939
29,0.3707065236,29,0.3425442939
30,0.3584012278,30,0.3397818959
31,0.3448298215,31,0.3363717346
32,0.3300998934,32,0.3322055627
33,0.314344134,33,0.327192599
34,0.2977174612,34,0.32125857
35,0.2803932461,35,0.314344134
36,0.2625587737,36,0.2977174612
37,0.2444101237,37,0.2803932461
38,0.2261466934,38,0.2625587737
39,0.2079656154,39,0.2444101237
40,0.1925150255,40,0.2261466934
41,0.1935926501,41,0.2079656154
42,0.1945900743,42,0.1925150255
43,0.1955026011,43,0.1935926501
44,0.1963258762,44,0.1945900743
45,0.1970559223,45,0.1955026011
46,0.1976891718,46,0.1963258762
47,0.1982224971,47,0.1970559223
48,0.1986532381,48,0.1976891718
49,0.1989792269,49,0.1982224971
50,0.1991988078,50,0.1986532381
51,0.199310855,51,0.1989792269
52,0.1993147852,52,0.1991988078
53,0.1992105658,53,0.199310855
54,0.1989987194,54,0.1993147852
55,0.198680323,55,0.1992105658
56,0.198257003,56,0.1989987194
57,0.1977309254,57,0.198680323
58,0.1971047822,58,0.198257003
59,0.1963817729,59,0.1977309254
60,0.1955655825,60,0.1971047822
61,0.1946603558,61,0.1963817729
62,0.1936706681,62,0.1955655825
63,0.1926014937,63,0.1946603558
64,0.191458171,64,0.1936706681
65,0.1902463668,65,0.1926014937
66,0.1889720379,66,0.191458171
67,0.1876413925,67,0.1902463668
68,0.1862608509,68,0.1889720379
69,0.184837006,69,0.1876413925
70,0.1833765842,70,0.1862608509
71,0.1818864076,71,0.184837006
72,0.1803733567,72,0.1833765842
73,0.1788443355,73,0.1818864076
74,0.1773849813,74,0.1803733567
75,0.1763312215,75,0.1788443355
76,0.1752654685,76,0.1773849813
77,0.174193623,77,0.1763312215
78,0.1731215563,78,0.1752654685
79,0.172055086,79,0.174193623
80,0.1709999539,80,0.1731215563
81,0.1699618063,81,0.172055086
82,0.1689461748,82,0.1709999539
83,0.1679584608,83,0.1699618063
84,0.1670039198,84,0.1689461748
85,0.1660876492,85,0.1679584608
86,0.1652145767,86,0.1670039198
87,0.1643894498,87,0.1660876492
88,0.1636168274,88,0.1652145767
89,0.1629010719,89,0.1643894498
90,0.1622463415,90,0.1636168274
91,0.1616565835,91,0.1629010719
92,0.161135528,92,0.1622463415
93,0.1606866799,93,0.1616565835
94,0.1603133121,94,0.161135528
95,0.1600184563,95,0.1606866799
96,0.1598048933,96,0.1603133121
97,0.159675141,97,0.1600184563
98,0.1596314405,98,0.1598048933
nan,nan,99,0.159675141
nan,nan,100,0.1596314405
