Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-8.058715282,32.85328001,-17.26980552,65.34241844,-47.3984672,-59.95019574,-0.0002746456901,13.66303712,-50.98838811,-0.00159053611,36.89047624,-0.0004394579877
1,-8.057927358,32.85054258,-17.26415345,65.31054934,-47.41491371,-59.92780248,-0.0002747330406,13.66303719,-50.9883882,-0.00159053611,36.89047624,-0.0004393182267
2,-8.055626622,32.84254929,-17.24764939,65.21749158,-47.46293752,-59.86241417,-0.0002749881044,13.66303739,-50.98838845,-0.00159053611,36.89047624,-0.0004389101248
3,-8.051907625,32.82962862,-17.22097159,65.06706945,-47.54056505,-59.756718,-0.0002754003991,13.66303772,-50.98838887,-0.00159053611,36.89047624,-0.0004382504531
4,-8.046864916,32.81210908,-17.18479831,64.86310723,-47.64582272,-59.61340116,-0.0002759594429,13.66303817,-50.98838942,-0.00159053611,36.89047624,-0.0004373559831
5,-8.040593047,32.79031915,-17.1398078,64.60942922,-47.77673694,-59.43515084,-0.0002766547536,13.66303873,-50.98839012,-0.00159053611,36.89047624,-0.000436243486
6,-8.033186568,32.76458732,-17.08667829,64.30985972,-47.93133414,-59.22465423,-0.0002774758491,13.66303938,-50.98839094,-0.00159053611,36.89047624,-0.0004349297332
7,-8.024740031,32.73524208,-17.02608805,63.968223,-48.10764074,-58.98459852,-0.0002784122474,13.66304013,-50.98839188,-0.00159053611,36.89047624,-0.0004334314959
8,-8.015347986,32.70261193,-16.95871531,63.58834338,-48.30368314,-58.71767091,-0.0002794534665,13.66304097,-50.98839292,-0.00159053611,36.89047624,-0.0004317655454
9,-8.005104983,32.66702536,-16.88523834,63.17404512,-48.51748778,-58.42655857,-0.0002805890241,13.66304188,-50.98839405,-0.00159053611,36.89047624,-0.0004299486532
10,-7.994105575,32.62881086,-16.80633537,62.72915254,-48.74708107,-58.11394871,-0.0002818084383,13.66304285,-50.98839527,-0.00159053611,36.89047624,-0.0004279975904
11,-7.982444311,32.58829691,-16.72268466,62.25748991,-48.99048942,-57.78252852,-0.000283101227,13.66304388,-50.98839657,-0.00159053611,36.89047624,-0.0004259291285
12,-7.970215742,32.54581202,-16.63496446,61.76288154,-49.24573927,-57.43498518,-0.0002844569082,13.66304497,-50.98839792,-0.00159053611,36.89047624,-0.0004237600387
