Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2646011436,44,0.2646011436,11.83433785,-15.02670884,9.744926459,-1.741218739e-06,5.398988911,0.0001648458018,11.96676713,-23.43552155,-6.998952629,-9.85645544e-05,29.69095344,-0.001521582418,11.83433785,-15.02670884,9.744926459,-1.741218739e-06,5.398988911,0.0001648458018,11.96676713,-23.43552155,-6.998952629,-9.85645544e-05,29.69095344,-0.001521582418
q1,1,53,0.6561472794,66,0.3528723948,5.487610789,-15.0267048,9.74492825,-1.741218739e-06,5.398988911,0.0001648458018,5.542446816,-23.43552449,-6.998956301,-9.85645544e-05,29.69094977,-0.001515706098,10.82007668,-7.665700079,14.71093893,-0.04990912967,5.881302657,-0.01137010859,6.08791523,-23.57912929,-7.197303071,-0.009636529292,29.68098947,-0.01305095441
peak,1,60,0.9272472621,95,0.3599996012,0.3674762285,-15.02670155,9.744929695,-1.741218739e-06,5.398988911,0.0001648458018,0.3597149757,-23.43552686,-6.998959264,-9.85645544e-05,29.6909468,-0.001510965457,0.07818936798,-2.122903269,18.27158014,-0.01877916138,6.301532484,-0.01486554934,-0.1504111343,-23.65058487,-7.316040235,-0.01528391344,29.67552741,-0.01654090089
q3,1,68,0.6555474339,124,0.3522310757,-5.488124886,-15.02669782,9.744931347,-1.741218739e-06,5.398988911,0.0001648458018,-5.56747502,-23.43552957,-6.998962653,-9.85645544e-05,29.69094342,-0.001505543862,-10.75910111,-7.910058541,14.54226649,0.01840025312,5.858459328,-0.01137010863,-6.529777684,-23.57616174,-7.191351289,-0.0139925007,29.68103855,-0.013039828
Tail,1,78,0.2726163802,146,0.2726163802,-12.51224743,-15.02669336,9.744933329,-1.741218739e-06,5.398988911,0.0001648458018,-12.67747244,-23.43553282,-6.998966717,-9.85645544e-05,29.69093935,-0.001499040353,-12.51224743,-15.02669336,9.744933329,-1.741218739e-06,5.398988911,0.0001648458018,-12.67747244,-23.43553282,-6.998966717,-9.85645544e-05,29.69093935,-0.001499040353
