round,step,MaxD_in,MaxD_out
1,0,0.1904018227,0.1904018227
1,1,0.1904033252,0.1904033252
1,2,0.1904077126,0.1904077126
1,3,0.1904146662,0.1904146662
1,4,0.1904236877,0.1904236877
1,5,0.1904341064,0.1904341064
1,6,0.1904450865,0.1904450865
1,7,0.1904556337,0.1904556337
1,8,0.190464602,0.190464602
1,9,0.1904707002,0.1904707002
1,10,0.190472499,0.190472499
1,11,0.1904684366,0.1904684366
1,12,0.1904568264,0.1904568264
1,13,0.1904358626,0.1904358626
1,14,0.1904036279,0.1904036279
1,15,0.1903580996,0.1903580996
1,16,0.1902971572,0.1902971572
1,17,0.1902185898,0.1902185898
1,18,0.1901201032,0.1901201032
1,19,0.1899993282,0.1899993282
1,20,0.1898538286,0.1898538286
1,21,0.1896811099,0.1896811099
1,22,0.1935558315,0.1935558315
1,23,0.1976746227,0.1976746227
1,24,0.2019812691,0.2019812691
1,25,0.2064747873,0.2064747873
1,26,0.2111536725,0.2111536725
1,27,0.2160158286,0.2160158286
1,28,0.2210584965,0.2210584965
1,29,0.2262781806,0.2262781806
1,30,0.2316705743,0.2316705743
1,31,0.2372304846,0.2372304846
1,32,0.2429517568,0.2429517568
1,33,0.2488272004,0.2488272004
1,34,0.2548485162,0.2548485162
1,35,0.2631621101,0.2631621101
1,36,0.2735303396,0.2679823823
1,37,0.2843274697,0.2726506176
1,38,0.2955529603,0.2771654788
1,39,0.3072040227,0.2815260184
1,40,0.319275371,0.2857316521
1,41,0.3317589689,0.2897821346
1,42,0.3446437771,0.2936775377
1,43,0.3579155034,0.29741823
1,44,0.3715563601,0.3010048599
1,45,0.385544833,0.30443834
1,46,0.3998554665,0.3077198353
1,47,0.4144586715,0.3108507523
1,48,0.4293205596,0.313832732
1,49,0.4444028117,0.3166676448
1,50,0.4596625848,0.3193575877
1,51,0.4750524657,0.3219048837
1,52,0.4905204746,0.3243120838
1,53,0.5060101274,0.3265819701
1,54,0.5214605591,0.328717562
