round,inner_step,G_norm,d_norm,alpha
1,1,15.91567832,15.91567832,0.609085145
1,2,14.85858792,20.31733852,0.4551902329
1,3,7.201530287,8.635818882,0.2985144271
1,4,5.4343416,7.337719808,0.5837820038
1,5,4.010458468,5.682053097,0.6661530739
1,6,5.793547761,13.20440509,0.6807647547
1,7,7.494185149,23.32650719,0.1746297704
1,8,5.947800862,15.84495917,0.1836049563
1,9,6.027027921,17.34433662,0.2586397164
1,10,8.130579458,32.59031417,0.1948028893
1,11,9.211837296,42.83415857,0.1130938852
1,12,8.549037463,37.86765015,0.0912744531
1,13,8.096187043,34.91269484,0.08730341017
1,14,8.387098379,38.39323446,0.0823886063
1,15,8.985632201,44.97432047,0.07322616014
1,16,9.214944942,48.18683258,0.06522634625
1,17,8.855392983,45.37000006,0.06146362657
1,18,8.306656095,40.77290065,0.062367448
1,19,8.105289826,39.65241552,0.06657750844
1,20,8.492916666,44.35062328,0.07053449515
1,21,9.310457162,54.10086184,0.07053066091
1,22,10.02604336,63.52657752,0.06665328873
1,23,10.08541125,65.06207341,0.06241527966
1,24,9.510587367,58.62933187,0.06076542175
1,25,8.854950144,51.58808446,0.0619570439
1,26,8.559177685,48.95428359,0.06360695662
1,27,8.635410476,50.57694698,0.06279666266
1,28,8.782011976,53.04794337,0.06014431246
1,29,8.708857,52.89936257,0.05913328294
1,30,8.389617024,49.81535125,0.06167956122
1,31,8.021963254,46.25858597,0.06631784893
1,32,7.834126306,44.82067167,0.0675620541
1,33,7.825602296,45.41504177,0.06192278037
1,34,7.73801003,45.08429906,0.05464080406
1,35,7.389788005,41.78561388,0.05002537431
1,36,6.824833233,36.2943453,0.04835437123
1,37,6.241290069,30.99041355,0.04910193366
1,38,5.849757992,27.84330456,0.05157907432
1,39,5.746164439,27.46665272,0.05448798034
1,40,5.873295553,29.27953852,0.05628040483
1,41,6.049323597,31.63092054,0.05633366968
1,42,6.071052253,32.41687662,0.05546893262
1,43,5.884228856,31.00061994,0.05523802534
1,44,5.643255525,29.05256526,0.0566484617
1,45,5.55580593,28.69028503,0.05925023366
1,46,5.710825747,30.83857704,0.06115373342
1,47,6.018378968,34.7698993,0.06052102808
1,48,6.244794569,37.95200052,0.05764646972
1,49,6.183316896,37.7219678,0.05471745671
1,50,5.863357115,34.42907422,0.05367452396
1,51,5.523755806,31.06210776,0.05505451556
1,52,5.387543994,30.04976874,0.05767980369
1,53,5.504121277,31.85930163,0.05873872959
1,54,5.710559973,34.78271576,0.05603164856
1,55,5.719964136,35.37915911,0.05096357359
1,56,5.389006944,31.87713822,0.04674067812
1,57,4.861996084,26.41074365,0.04491043931
1,58,4.382877353,21.91307464,0.04537722019
1,59,4.104448298,19.65418417,0.04728732039
1,60,4.05831469,19.63700162,0.04937962114
1,61,4.187243987,21.31333093,0.05055496277
1,62,4.377574328,23.69253466,0.05040508208
1,63,4.504185502,25.47119728,0.04905083453
1,64,4.501444446,25.82072685,0.04702533651
1,65,4.411163157,25.16904378,0.04515887189
1,66,4.331950025,24.64081502,0.04388553221
1,67,4.326066922,24.93634622,0.04306243613
1,68,4.384362266,25.97112523,0.04242620576
1,69,4.4409623,27.00084109,0.04187787081
1,70,4.409552705,26.97232152,0.04147099053
1,71,4.238736317,25.27263641,0.04141434765
1,72,3.963412017,22.44301996,0.04212815508
1,73,3.693747183,19.83681139,0.04401402136
1,74,3.540841128,18.56890981,0.04699218866
1,75,3.556764911,19.0729436,0.05018481174
1,76,3.717210994,21.16515855,0.05220766807
1,77,3.925591966,23.93310284,0.05223387361
1,78,4.055407388,25.86620153,0.05087224334
1,79,4.047332513,26.08251121,0.04965416384
1,80,3.964659921,25.34173032,0.04962001612
1,81,3.921541512,25.10167933,0.05059879171
1,82,3.979435186,26.15077353,0.05146131831
1,83,4.102632053,28.09225281,0.05101550004
1,84,4.17284489,29.35472548,0.04906894233
1,85,4.067774908,28.18377583,0.04659919205
1,86,3.770568905,24.50080216,0.04485213393
1,87,3.389922234,20.08493399,0.04452562416
1,88,3.06375091,16.68325683,0.04560838695
1,89,2.871098985,14.92487799,0.04742882481
1,90,2.815393525,14.62191853,0.04886644083
1,91,2.842618346,15.1740065,0.04908845533
1,92,2.870760114,15.74162405,0.04826943355
1,93,2.836824608,15.6351775,0.0473616654
1,94,2.741242357,14.86046228,0.04730213487
1,95,2.642525846,14.06778407,0.04842877895
1,96,2.603012935,13.90530453,0.05016363502
1,97,2.637659443,14.52929887,0.05113529523
1,98,2.694663085,15.41135529,0.0502366456
1,99,2.678392248,15.46854438,0.0478658997
1,100,2.524629356,13.98098566,0.04558099278
1,101,2.266628485,11.50063491,0.04473952058
1,102,2.005393636,9.225761683,0.04593925989
1,103,1.830203893,7.898331352,0.04903505112
1,104,1.780896372,7.682897856,0.05296703999
1,105,1.851190843,8.497155923,0.05599948033
1,106,1.996851359,10.07609575,0.05698146316
1,107,2.147558085,11.83897144,0.05627530945
1,108,2.24461817,13.11489366,0.0553131085
1,109,2.291113434,13.84374905,0.05547000485
1,110,2.350618406,14.75145399,0.05700808478
1,111,2.484871572,16.66415916,0.05861914757
1,112,2.692509788,19.74596191,0.05818321119
1,113,2.881410028,22.79553824,0.05486018954
1,114,2.910313426,23.43810737,0.05021888179
1,115,2.719659678,20.65190548,0.0465299807
1,116,2.401578511,16.28863447,0.04492131359
1,117,2.099085045,12.62933582,0.04534266566
1,118,1.894557387,10.47382505,0.04698250871
1,119,1.795129984,9.588389216,0.04848149399
1,120,1.760363658,9.404016559,0.048683601
1,121,1.731808507,9.282113123,0.04766266894
1,122,1.668186879,8.7895183,0.0465459353
