Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,78,0.3389408125,78,0.3389408125,7.401380258,-7.419355675,7.873004731,91.27052709,7.405749969,-91.29669508,19.50956408,-28.45200001,3.318651057,33.08474552,36.38197724,-28.26544947,7.401380258,-7.419355675,7.873004731,91.27052709,7.405749969,-91.29669508,19.50956408,-28.45200001,3.318651057,33.08474552,36.38197724,-28.26544947
q1,1,114,0.7026618919,130,0.4030651209,2.969127029,-7.544027099,8.013412405,90.59127159,2.970668113,-90.59847253,11.2053906,-30.11591892,5.891697895,16.61618022,34.94924238,-13.57662056,4.97747959,-1.085015984,12.45907157,90.57167852,2.676045752,-90.60262258,12.22757183,-31.47136273,4.670242749,16.43047574,34.92340953,-13.43279596
peak,1,147,0.9965875268,183,0.4040190108,-1.562850682,-7.671503597,8.156979214,89.89673303,-1.564201868,-89.88454016,2.71437549,-31.81727555,8.522637581,-0.2229232854,33.48427138,1.442702959,-2.092748609,1.395820948,14.49589144,89.89957301,-1.533673418,-89.8982951,2.556856636,-33.72680405,6.716918998,-0.2680314074,33.4668302,1.454504939
q3,1,179,0.6989926163,236,0.4037469998,-5.913007136,-7.793865785,8.294786175,89.2300591,-5.917134556,-89.19925049,-5.435983256,-33.45037439,11.04802495,-16.38644823,32.07807447,15.85945682,-8.976907365,-2.149636289,12.40682586,89.22020399,-5.759527418,-89.18659409,-7.12268407,-34.89934857,9.942799649,-16.9685558,32.01775459,16.35684643
Tail,1,219,0.3451841112,288,0.3451841112,-10.60826544,-7.925935076,8.443525488,88.51049732,-10.61538933,-88.45959617,-14.23291733,-35.21302844,13.77375358,-33.83224023,30.56032268,31.4199048,-10.60826544,-7.925935076,8.443525488,88.51049732,-10.61538933,-88.45959617,-14.23291733,-35.21302844,13.77375358,-33.83224023,30.56032268,31.4199048
