Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
34,-18.31974886,-10.08808741,4.014090913,-1.401084556e-06,6.051334333,4.093988405e-08,-18.3247477,-38.98890901,11.96172222,2.543344213e-06,27.0523327,4.419723874e-05
35,-17.70734644,-10.0927071,4.014830114,-1.383251171e-06,6.054027118,4.041879008e-08,-17.71260968,-38.98832846,11.95971625,2.510971837e-06,27.05507833,4.363468427e-05
36,-17.08456313,-10.09740509,4.015581845,-1.365115491e-06,6.056765549,3.988886302e-08,-17.09009527,-38.98773808,11.95767628,2.478050714e-06,27.05787049,4.306259391e-05
37,-16.45181419,-10.10217827,4.016345605,-1.346689608e-06,6.059547799,3.935045617e-08,-16.45761952,-38.98713824,11.95560367,2.444602795e-06,27.06070734,4.248134908e-05
38,-15.80951485,-10.10702349,4.017120894,-1.327985614e-06,6.062372043,3.880392288e-08,-15.81559749,-38.98652936,11.95349977,2.410650029e-06,27.06358701,4.189133123e-05
39,-15.15808033,-10.11193762,4.017907209,-1.3090156e-06,6.065236455,3.824961645e-08,-15.16444423,-38.98591181,11.95136595,2.376214367e-06,27.06650763,4.129292178e-05
40,-14.49792588,-10.11691753,4.018704049,-1.289791659e-06,6.068139209,3.768789023e-08,-14.5045748,-38.985286,11.94920357,2.341317757e-06,27.06946734,4.068650218e-05
41,-13.82946673,-10.12196009,4.019510913,-1.270325881e-06,6.07107848,3.711909752e-08,-13.83640426,-38.98465231,11.94701399,2.30598215e-06,27.07246429,4.007245386e-05
42,-13.15311811,-10.12706216,4.020327301,-1.250630359e-06,6.074052442,3.654359166e-08,-13.16034766,-38.98401115,11.94479856,2.270229497e-06,27.07549661,3.945115826e-05
43,-12.46929526,-10.13222061,4.02115271,-1.230717185e-06,6.077059268,3.596172597e-08,-12.47682006,-38.9833629,11.94255865,2.234081746e-06,27.07856244,3.882299681e-05
44,-11.77841342,-10.13743231,4.02198664,-1.210598451e-06,6.080097134,3.537385377e-08,-11.78623651,-38.98270796,11.94029562,2.197560847e-06,27.08165992,3.818835095e-05
45,-11.08088782,-10.14269413,4.022828589,-1.190286247e-06,6.083164212,3.478032838e-08,-11.08901206,-38.98204672,11.93801083,2.16068875e-06,27.08478718,3.754760211e-05
46,-10.37713369,-10.14800294,4.023678056,-1.169792667e-06,6.086258678,3.418150314e-08,-10.38556178,-38.98137957,11.93570563,2.123487406e-06,27.08794237,3.690113173e-05
47,-9.667566271,-10.1533556,4.024534541,-1.149129802e-06,6.089378706,3.357773136e-08,-9.676300726,-38.98070692,11.93338139,2.085978764e-06,27.09112363,3.624932126e-05
48,-8.952600798,-10.15874898,4.025397541,-1.128309743e-06,6.092522469,3.296936637e-08,-8.961643943,-38.98002914,11.93103947,2.048184774e-06,27.09432908,3.559255211e-05
49,-8.232652505,-10.16417995,4.026266555,-1.107344583e-06,6.095688142,3.235676149e-08,-8.242006492,-38.97934665,11.92868123,2.010127385e-06,27.09755687,3.493120573e-05
50,-7.508136628,-10.16964537,4.027141083,-1.086246413e-06,6.098873899,3.174027005e-08,-7.517803427,-38.97865982,11.92630803,1.971828549e-06,27.10080515,3.426566356e-05
51,-6.7794684,-10.17514212,4.028020623,-1.065027324e-06,6.102077914,3.112024537e-08,-6.789449805,-38.97796906,11.92392123,1.933310213e-06,27.10407203,3.359630702e-05
