Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
30,-21.75860343,-1.804520194e-06,2.0288801e-06,-1.262881556e-06,-2.454536427e-05,3.690157332e-08,-21.75857138,-11.38703872,-7.031139594,2.292468705e-06,18.41818983,-3.526834311e-09
31,-21.28758,-1.765456507e-06,1.98495954e-06,-1.235543092e-06,-2.401401392e-05,3.610273963e-08,-21.28754865,-11.14053568,-6.878931689,2.242842061e-06,18.01947864,-3.450486507e-09
32,-20.80972289,-1.725826077e-06,1.940401772e-06,-1.207807997e-06,-2.347495465e-05,3.529231633e-08,-20.80969224,-10.89045633,-6.724515525,2.192495425e-06,17.61498287,-3.373031037e-09
33,-20.32557878,-1.685674243e-06,1.895257774e-06,-1.179708001e-06,-2.292880317e-05,3.447123057e-08,-20.32554884,-10.63708677,-6.568067763,2.141486397e-06,17.20516529,-3.294556513e-09
34,-19.83569437,-1.645046346e-06,1.849578523e-06,-1.151274835e-06,-2.237617619e-05,3.364040954e-08,-19.83566516,-10.38071311,-6.409765064,2.089872575e-06,16.79048868,-3.215151548e-09
35,-19.34061636,-1.603987724e-06,1.803414993e-06,-1.12254023e-06,-2.181769043e-05,3.28007804e-08,-19.34058787,-10.12162146,-6.249784088,2.03771156e-06,16.37141579,-3.134904756e-09
36,-18.84089144,-1.562543717e-06,1.756818163e-06,-1.093535915e-06,-2.125396261e-05,3.195327031e-08,-18.84086369,-9.860097921,-6.088301496,1.98506095e-06,15.94840939,-3.053904751e-09
37,-18.33706631,-1.520759665e-06,1.709839009e-06,-1.064293621e-06,-2.068560943e-05,3.109880646e-08,-18.3370393,-9.596428595,-5.92549395,1.931978345e-06,15.52193225,-2.972240145e-09
38,-17.82968765,-1.478680906e-06,1.662528507e-06,-1.03484508e-06,-2.011324761e-05,3.023831601e-08,-17.82966139,-9.330899588,-5.761538108,1.878521344e-06,15.09244713,-2.889999553e-09
39,-17.31930218,-1.43635278e-06,1.614937634e-06,-1.00522202e-06,-1.953749386e-05,2.937272612e-08,-17.31927667,-9.063797005,-5.596610633,1.824747547e-06,14.6604168,-2.807271587e-09
40,-16.80645657,-1.393820628e-06,1.567117366e-06,-9.754561734e-07,-1.89589649e-05,2.850296398e-08,-16.80643182,-8.795406951,-5.430888185,1.770714553e-06,14.22630403,-2.72414486e-09
41,-16.29169754,-1.351129787e-06,1.519118681e-06,-9.455792699e-07,-1.837827745e-05,2.762995674e-08,-16.29167354,-8.526015531,-5.264547424,1.716479961e-06,13.79057158,-2.640707987e-09
42,-15.77557176,-1.308325597e-06,1.470992554e-06,-9.156230403e-07,-1.779604821e-05,2.675463157e-08,-15.77554853,-8.255908849,-5.097765012,1.66210137e-06,13.35368221,-2.557049581e-09
43,-15.25862595,-1.265453399e-06,1.422789962e-06,-8.856192149e-07,-1.72128939e-05,2.587791565e-08,-15.25860347,-7.98537301,-4.930717609,1.607636381e-06,12.91609869,-2.473258254e-09
44,-14.74140678,-1.22255853e-06,1.374561882e-06,-8.555995243e-07,-1.662943123e-05,2.500073615e-08,-14.74138507,-7.714694118,-4.763581875,1.553142591e-06,12.4782838,-2.389422621e-09
45,-14.22446097,-1.179686332e-06,1.32635929e-06,-8.255956989e-07,-1.604627692e-05,2.412402023e-08,-14.22444001,-7.444158279,-4.596534472,1.498677602e-06,12.04070028,-2.305631295e-09
46,-13.70833519,-1.136882142e-06,1.278233163e-06,-7.956394692e-07,-1.546404768e-05,2.324869507e-08,-13.708315,-7.174051597,-4.429752059,1.444299011e-06,11.60381091,-2.221972888e-09
47,-13.19357615,-1.094191302e-06,1.230234477e-06,-7.657625658e-07,-1.488336022e-05,2.237568783e-08,-13.19355672,-6.904660176,-4.263411299,1.390064419e-06,11.16807846,-2.138536015e-09
48,-12.68073055,-1.051659149e-06,1.182414209e-06,-7.359967191e-07,-1.430483127e-05,2.150592568e-08,-12.68071187,-6.636270122,-4.097688851,1.336031425e-06,10.73396568,-2.055409289e-09
49,-12.17034508,-1.009331023e-06,1.134823336e-06,-7.063736596e-07,-1.372907752e-05,2.06403358e-08,-12.17032715,-6.36916754,-3.932761376,1.282257628e-06,10.30193536,-1.972681323e-09
50,-11.66296642,-9.672522645e-07,1.087512834e-06,-6.769251179e-07,-1.31567157e-05,1.977984534e-08,-11.66294925,-6.103638533,-3.768805534,1.228800627e-06,9.87245024,-1.89044073e-09
51,-11.15914129,-9.25468212e-07,1.04053368e-06,-6.476828243e-07,-1.258836252e-05,1.892538149e-08,-11.15912485,-5.839969207,-3.605997988,1.175718022e-06,9.4459731,-1.808776125e-09
52,-10.65941637,-8.840242051e-07,9.9393685e-07,-6.186785094e-07,-1.20246347e-05,1.807787141e-08,-10.65940067,-5.578445666,-3.444515396,1.123067412e-06,9.022966703,-1.727776119e-09
