round,total_inner,outer_iter,conv_iter,diverge_iter,c_final,maxD_final,time_ms,L,f,f_a,f_b,final_G_norm,final_d_norm
1,82,7,7,-1,20480,0.355489828,23.262265,329.8531942,326.2386924,369.7098724,282.7675124,0.06695332937,0.09852170698
2,78,8,8,-1,20480,0.3583648437,18.687036,133.5526385,130.6002866,185.7587553,75.44181795,0.08921338527,0.135019555
