round,total_inner,outer_iter,conv_iter,diverge_iter,c_final,maxD_final,time_ms,L,f,f_a,f_b,final_G_norm,final_d_norm
1,252,7,7,-1,20480,0.3555616764,55.993305,329.8704333,326.4314092,370.8776592,281.9851592,0.09107585713,0.09107585713
2,266,8,8,-1,20480,0.3584001219,62.086797,134.7225691,131.7675567,187.6215299,75.91358353,0.09747566687,0.09747566687
