Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
34,-18.24961477,-15.0270481,9.745259457,-1.741218739e-06,5.399634615,1.062504925e-05,-18.4646097,-23.4360679,-6.999628956,-5.812883951e-05,29.69089509,-0.000593678739
35,-17.6497951,-15.02704848,9.745259626,-1.741218739e-06,5.399634268,1.118023816e-05,-17.85787531,-23.43606818,-6.999628956,-5.778613006e-05,29.69089509,-0.0005931235501
36,-17.03972439,-15.02704887,9.745259798,-1.741218739e-06,5.399633915,1.174491537e-05,-17.24077171,-23.43606846,-6.999628956,-5.743756364e-05,29.69089509,-0.0005925588729
37,-16.41980465,-15.02704926,9.745259973,-1.741218739e-06,5.399633557,1.231870877e-05,-16.61370554,-23.43606874,-6.999628956,-5.708336993e-05,29.69089509,-0.0005919850795
38,-15.79043787,-15.02704966,9.74526015,-1.741218739e-06,5.399633193,1.290124629e-05,-15.97708343,-23.43606904,-6.999628956,-5.672377861e-05,29.69089509,-0.000591402542
39,-15.15202606,-15.02705007,9.74526033,-1.741218739e-06,5.399632823,1.349215582e-05,-15.33131201,-23.43606933,-6.999628956,-5.635901938e-05,29.69089509,-0.0005908116325
40,-14.50497122,-15.02705048,9.745260513,-1.741218739e-06,5.399632449,1.409106528e-05,-14.67679793,-23.43606963,-6.999628956,-5.598932192e-05,29.69089509,-0.000590212723
41,-13.84967535,-15.0270509,9.745260698,-1.741218739e-06,5.39963207,1.469760259e-05,-14.01394781,-23.43606993,-6.999628956,-5.561491591e-05,29.69089509,-0.0005896061857
42,-13.18654045,-15.02705132,9.745260885,-1.741218739e-06,5.399631686,1.531139564e-05,-13.3431683,-23.43607024,-6.999628956,-5.523603104e-05,29.69089509,-0.0005889923927
43,-12.51596853,-15.02705174,9.745261074,-1.741218739e-06,5.399631298,1.593207235e-05,-12.66486603,-23.43607055,-6.999628956,-5.4852897e-05,29.69089509,-0.000588371716
44,-11.83836158,-15.02705218,9.745261265,-1.741218739e-06,5.399630906,1.655926064e-05,-11.97944763,-23.43607087,-6.999628956,-5.446574346e-05,29.69089509,-0.0005877445277
45,-11.1541216,-15.02705261,9.745261458,-1.741218739e-06,5.399630511,1.71925884e-05,-11.28731974,-23.43607118,-6.999628956,-5.407480012e-05,29.69089509,-0.0005871111999
46,-10.4636506,-15.02705305,9.745261653,-1.741218739e-06,5.399630111,1.783168356e-05,-10.588889,-23.4360715,-6.999628956,-5.368029666e-05,29.69089509,-0.0005864721048
47,-9.767350585,-15.02705349,9.745261849,-1.741218739e-06,5.399629708,1.847617402e-05,-9.884562038,-23.43607182,-6.999628956,-5.328246276e-05,29.69089509,-0.0005858276143
48,-9.065623547,-15.02705394,9.745262047,-1.741218739e-06,5.399629302,1.912568769e-05,-9.174745495,-23.43607215,-6.999628956,-5.288152811e-05,29.69089509,-0.0005851781007
49,-8.35887149,-15.02705439,9.745262246,-1.741218739e-06,5.399628893,1.977985248e-05,-8.459846006,-23.43607248,-6.999628956,-5.24777224e-05,29.69089509,-0.0005845239359
50,-7.647496417,-15.02705484,9.745262447,-1.741218739e-06,5.399628482,2.04382963e-05,-7.740270207,-23.4360728,-6.999628956,-5.207127531e-05,29.69089509,-0.0005838654921
