round,inner_step,G_norm,d_norm,alpha
1,1,17.06962834,17.06962834,0.301922136
1,2,7.57847104,8.291579892,1.400682068
1,3,9.310926423,15.59758977,0.2756698864
1,4,6.582323533,10.19913879,0.6896027719
1,5,3.066475306,3.779102503,0.8185465815
1,6,5.004111399,11.22768543,0.4544246002
1,7,3.020928016,5.074903659,0.347099739
1,8,1.531614638,2.015074499,0.3917551644
1,9,0.8503239387,1.073940394,0.2268277704
1,10,1.173385347,1.173385347,0.5153152385
1,11,0.9908290318,1.313531657,0.5890721214
1,12,0.917454407,1.470464875,0.4044056852
1,13,0.8524223259,1.537614463,0.620189951
1,14,0.2388827575,0.2666567655,0.5192915995
1,15,5.623586872,5.623586872,0.368031401
1,16,3.506192893,4.143850543,0.5198936923
1,17,3.159310319,4.634102402,0.3759669622
1,18,3.086944691,5.400634441,0.4766425491
1,19,1.370928553,1.73599421,0.3797059757
1,20,1.183329795,1.769097485,0.308647907
1,21,0.4642724519,0.5530023756,1.686887437
1,22,0.4588236277,0.7084611271,0.2194274224
1,23,0.145590404,0.1591058233,0.2058568505
1,24,2.979339477,2.979339477,0.2435887178
1,25,2.346673972,2.988125772,0.3189982863
1,26,1.225643674,1.468037936,0.2157606574
1,27,0.6711630396,0.790646476,0.7196489803
1,28,0.7882079575,1.326027094,0.2745005502
1,29,0.4166800244,0.5483272782,0.4476336495
1,30,0.4312310994,0.7299078095,0.3814669064
1,31,0.3399726313,0.565352874,0.207088427
1,32,0.1535055021,0.1886122064,0.2509979682
1,33,0.1192912423,0.1633426722,0.6921154968
1,34,29.65783834,29.65783834,0.08630472797
1,35,13.27302993,14.54622227,0.1364291525
1,36,8.974220261,11.16251462,0.1122099572
1,37,6.087989718,7.953810213,0.1068474774
1,38,4.109895282,5.471044617,0.09656803842
1,39,3.605205279,5.540377481,0.207695262
1,40,5.411087647,13.59131665,0.09771467338
1,41,4.053706984,8.625072156,0.07609834003
1,42,2.902729309,5.272207706,0.07847689249
1,43,2.32021506,4.068908419,0.05307161554
1,44,0.974501474,1.199995642,0.0861945708
1,45,1.158061292,2.04666482,0.1056360975
1,46,1.159602836,2.351777347,0.1321783267
1,47,1.460369219,4.015382737,0.052976956
1,48,0.7506694995,1.31351248,0.1214051275
1,49,0.9959465227,2.517268665,0.06909220485
1,50,0.6378657352,1.205627299,0.06660607592
1,51,0.4396529551,0.7223293794,0.06349260549
1,52,0.3816229034,0.6810947161,0.08439314625
1,53,0.2516747614,0.4011148342,0.06406043969
1,54,0.23692755,0.4180489022,0.1257008696
1,55,0.2299123534,0.4420523251,0.07534702045
1,56,0.2221078652,0.4628358346,0.06494796713
1,57,0.09843342364,0.1286602326,0.07493791304
1,58,5.37182217,5.37182217,0.1383351268
1,59,2.935935152,3.347343906,0.1370863129
1,60,1.898851571,2.3444973,0.08575045206
1,61,1.782118032,2.727879535,0.1055053099
1,62,0.7642097222,0.9133940749,0.4571241611
1,63,1.060670863,2.046610605,0.1987246483
1,64,0.7894418414,1.367241729,0.1029456066
1,65,0.5841315285,0.923115934,0.0668363379
1,66,0.2780317379,0.3346599676,0.5190340563
1,67,0.3548119016,0.6472480949,0.07675073467
1,68,0.2676532445,0.4475200646,0.1158263251
1,69,0.1348943139,0.1760074307,0.2222091874
1,70,0.1625065453,0.3109762925,0.1191601971
1,71,0.1619916722,0.3531839421,0.09286798281
1,72,0.08165802898,0.1296833882,0.1885471629
1,73,19.72170789,19.72170789,0.01141427426
1,74,18.01951756,24.39770871,0.02742370229
1,75,6.806714055,7.642021472,0.02086884999
1,76,7.923129845,13.023454,0.007791670706
1,77,3.907682306,5.030871856,0.009704628121
1,78,2.809344838,3.846434931,0.0170376619
1,79,2.729640579,4.559087145,0.01417120986
1,80,2.815614013,5.606987516,0.02731992622
1,81,3.870451972,11.27352265,0.01090617179
1,82,2.273494823,4.508321564,0.01188317654
1,83,1.78711201,3.324968628,0.01126960573
1,84,1.13067994,1.754135844,0.01637842237
1,85,1.466685662,3.282601724,0.03822577822
1,86,2.671073571,11.19607336,0.01609389575
