Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2645914333,44,0.2645914333,11.83918558,-15.02701064,9.745194304,-1.741218739e-06,5.399524531,5.087865181e-08,11.97055856,-23.43598021,-6.999501945,-4.093803196e-05,29.69091911,-0.0006591845502,11.83918558,-15.02701064,9.745194304,-1.741218739e-06,5.399524531,5.087865181e-08,11.97055856,-23.43598021,-6.999501945,-4.093803196e-05,29.69091911,-0.0006591845502
q1,1,53,0.6559011066,58,0.3494002308,5.49057703,-15.0270066,9.745196095,-1.741218739e-06,5.399531876,5.087865181e-08,5.547868929,-23.43598021,-6.999505617,-4.456539282e-05,29.69091544,-0.0006591845502,9.527463459,-15.07039104,7.271029783,-0.01553359351,5.465965382,-0.01153490353,7.469472621,-19.96438567,-5.381454006,0.02879625572,29.53228568,-0.01219413896
peak,1,60,0.9272323665,73,0.3555613145,0.3689246109,-15.02700335,9.745197539,-1.741218739e-06,5.399537802,5.087865181e-08,0.3664526159,-23.43598021,-6.99950858,-4.749171619e-05,29.69091247,-0.0006591845502,7.480883556,-14.84234204,4.373508396,-0.02443358219,5.563133831,-0.01503034426,3.06552689,-15.73264861,-3.407676904,0.06529569592,29.35108759,-0.01568957969
q3,1,68,0.6557356406,113,0.3511709493,-5.488412391,-15.02699962,9.745199192,-1.741218739e-06,5.399544579,5.087865181e-08,-5.559232887,-23.43598021,-6.999511969,-5.08383826e-05,29.69090908,-0.0006591845502,-9.175624925,-14.04428627,5.898887061,0.01482144973,5.37402637,-0.01153490353,-6.422335502,-18.51374913,-4.931688385,-0.01179468918,29.48740354,-0.01219413896
Tail,1,78,0.2725780182,133,0.2725780182,-12.51461722,-15.02699516,9.745201173,-1.741218739e-06,5.399552708,5.087865181e-08,-12.66742559,-23.43598021,-6.999516033,-5.4852897e-05,29.69090502,-0.0006591845502,-12.51461722,-15.02699516,9.745201173,-1.741218739e-06,5.399552708,5.087865181e-08,-12.66742559,-23.43598021,-6.999516033,-5.4852897e-05,29.69090502,-0.0006591845502
Head,2,67,0.3461041509,67,0.3461041509,8.650922484,-14.98657646,5.340205421,-0.02390823376,5.534772919,-0.01494698667,4.74035919,-17.13713508,-4.05301648,0.05536476069,29.40929493,-0.0156062221,8.650922484,-14.98657646,5.340205421,-0.02390823376,5.534772919,-0.01494698667,4.74035919,-17.13713508,-4.05301648,0.05536476069,29.40929493,-0.0156062221
q1,2,81,0.4103909359,82,0.3519361472,4.703502962,-14.54715167,3.525416047,-0.01845327489,5.558070954,-0.01551360383,1.076734262,-14.62722084,-2.947576553,0.0618528924,29.30813034,-0.01617283926,5.032763221,-12.35789915,1.32071396,-0.03105399496,5.19004277,-0.02590980453,1.967412488,-13.87955101,-2.93357006,0.03780943005,29.30271565,-0.02656903996
peak,2,92,0.4670701891,102,0.3583999946,-0.5272204175,-14.10372646,3.242939582,-0.003292821685,5.495706684,-0.0164215039,-1.396064685,-14.51513459,-3.009165234,0.03602997216,29.31033805,-0.01708073933,-4.046377439,-11.17419998,-0.3810151063,0.002750453924,4.925355567,-0.02849148261,-1.610696587,-13.35415009,-2.906536064,0.004332194285,29.30313316,-0.02915071804
q3,2,104,0.4116741332,116,0.3499749575,-6.227220524,-13.85937247,4.214391967,0.01186047518,5.410376787,-0.01537714059,-4.113110906,-16.1520648,-3.857148254,0.002062402042,29.38597175,-0.01603637602,-7.746161733,-12.61993352,3.090889487,0.008395425144,5.151913252,-0.0231941543,-4.677500294,-16.27555667,-4.086545923,-0.01125721203,29.40550347,-0.02385338973
Tail,2,117,0.3382785263,130,0.3382785263,-9.883445357,-14.25990235,6.898799734,0.01250393998,5.372884395,-0.008741930113,-7.568890896,-19.82713897,-5.496905752,-0.0118472046,29.54231352,-0.009401165542,-9.883445357,-14.25990235,6.898799734,0.01250393998,5.372884395,-0.008741930113,-7.568890896,-19.82713897,-5.496905752,-0.0118472046,29.54231352,-0.009401165542
