Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2750959696,44,0.2750959696,-12.51799509,-15.02726746,10.23636627,0,5.399993896,0,-12.03847013,-22.67272949,-6.56363678,0,29.69091034,0,-12.51799509,-15.02726746,10.23636627,0,5.399993896,0,-12.03847013,-22.67272949,-6.56363678,0,29.69091034,0
q1,1,53,0.6163964773,60,0.4230590487,-6.173337519,-15.02726746,10.23636627,0,5.399993896,0,-5.626479497,-22.67272949,-6.56363678,0,29.69091034,0,-11.23928434,-19.75898633,6.836919878,-0.006304839949,5.37013257,-0.01153495441,-7.86330996,-20.20768376,-4.525172736,-0.04646215988,29.59014733,-0.01153495441
peak,1,61,0.9185879947,79,0.52866902,-0.3090896606,-15.02726746,10.23636627,0,5.399993896,0,0.3000030518,-22.67272949,-6.56363678,0,29.69091034,0,-5.314995321,-21.78554408,4.97533642,-0.006495129047,5.329271363,-0.01503039514,-1.631070707,-18.85989043,-3.413173068,-0.04631891708,29.54892288,-0.01503039514
q3,1,69,0.6303405383,107,0.4885407685,5.555158198,-15.02726746,10.23636627,0,5.399993896,0,6.226485601,-22.67272949,-6.56363678,0,29.69091034,0,5.046638029,-18.40910922,7.021373415,-0.01438397554,5.324060744,-0.01153495441,5.859850898,-20.26781411,-4.801794431,-0.02140409076,29.61323577,-0.01153495441
Tail,1,77,0.2631434465,128,0.2631434465,11.2165165,-15.02726746,10.23636627,0,5.399993896,0,11.94792542,-22.67272949,-6.56363678,0,29.69091034,0,11.2165165,-15.02726746,10.23636627,0,5.399993896,0,11.94792542,-22.67272949,-6.56363678,0,29.69091034,0
Head,2,48,0.3044879945,48,0.3044879945,-11.63532163,-15.52583903,9.884081253,-0.0007754779898,5.397255104,-0.001267273606,-10.828238,-22.41685273,-6.353126238,-0.005324200003,29.68021745,-0.001267273606,-11.63532163,-15.52583903,9.884081253,-0.0007754779898,5.397255104,-0.001267273606,-10.828238,-22.41685273,-6.353126238,-0.005324200003,29.68021745,-0.001267273606
q1,2,65,0.4753737757,80,0.3532579847,-10.36497637,-20.98288752,5.897343614,-0.00689486597,5.358247861,-0.01402799007,-6.381239876,-19.53019949,-3.955251596,-0.05427805121,29.56479692,-0.01402799006,-9.009511159,-8.490509629,6.666916508,-0.008549772151,5.041838272,-0.01643621715,-5.982308816,-11.12769028,-0.9830112651,-0.05570162884,30.00765174,-0.01643621717
peak,2,91,0.5958664973,124,0.3805571576,-0.5129141311,-20.95159837,5.217725163,-0.01160575256,5.3097079,-0.01520889106,1.845154933,-18.99306586,-3.652497589,-0.03594691918,29.56300582,-0.01520889106,-0.7390395908,4.644546735,6.225250564,-0.01648310702,4.68773355,-0.02082762881,1.2665726,0.9137946966,4.142568805,-0.03164087176,30.56983683,-0.02082762881
q3,2,109,0.4734468744,168,0.3512390226,5.650495759,-17.97900704,7.399055418,-0.01329797274,5.331543419,-0.01034364444,6.375448914,-20.54627181,-5.01750682,-0.01885596298,29.62266589,-0.01034364444,8.470348972,-8.128172815,6.839351317,-0.02455830637,5.00362376,-0.01540466181,8.125428523,-11.35575032,-1.145057096,0.01364963835,30.01697071,-0.01540466181
Tail,2,129,0.2568927451,200,0.2568927451,11.89981577,-15.02726746,10.23636627,0,5.399993896,0,12.63847624,-22.67272949,-6.56363678,0,29.69091034,0,11.89981577,-15.02726746,10.23636627,0,5.399993896,0,12.63847624,-22.67272949,-6.56363678,0,29.69091034,0
Head,3,69,0.2981854832,69,0.2981854832,-10.10826671,-12.60731713,7.705967086,-0.005871265029,5.205579116,-0.01105020122,-7.719168611,-16.27748216,-3.320492632,-0.03985994675,29.82942094,-0.01105020123,-10.10826671,-12.60731713,7.705967086,-0.005871265029,5.205579116,-0.01105020122,-7.719168611,-16.27748216,-3.320492632,-0.03985994675,29.82942094,-0.01105020123
q1,3,86,0.4295874514,84,0.3467542015,-8.240767233,-5.992950985,6.327177879,-0.009577324285,4.960386089,-0.0184324727,-5.032139483,-8.447824777,0.197563832,-0.05999926393,30.11471729,-0.01843247272,-7.2813038,-11.65423012,4.694212282,-0.01506738144,5.057239209,-0.02369297251,-4.095605726,-12.33336818,-1.290865049,-0.057255306,29.81879076,-0.02369297251
peak,3,96,0.4999147689,99,0.3720975604,-6.683526798,-1.888772857,6.086791717,-0.01082664341,4.846131797,-0.0203040259,-3.438896415,-4.522065027,1.883892436,-0.06029885879,30.2901404,-0.02030402592,-3.027484601,-11.23164547,2.215094969,-0.01441051499,4.949455238,-0.02641389374,0.3086607816,-10.15213252,-0.1534692951,-0.0489676848,29.76414789,-0.02641389374
q3,3,160,0.425712137,124,0.356347843,7.560447569,-5.029566023,6.231835149,-0.02770675766,4.891643216,-0.0185613764,7.284961323,-7.683836341,0.5186867618,0.01157173334,30.15537634,-0.01856137639,5.891194473,-12.98438105,4.79087869,-0.01942339584,5.104338013,-0.01946777531,6.409958076,-14.05542343,-2.102779292,-0.007345401438,29.74378466,-0.01946777531
Tail,3,193,0.3099670839,148,0.3099670839,10.1442508,-14.62340293,9.941905796,-0.002255103515,5.369920829,-0.001293576558,10.74641776,-21.8633173,-6.166265842,0.001640814048,29.71083379,-0.001293576558,10.1442508,-14.62340293,9.941905796,-0.002255103515,5.369920829,-0.001293576558,10.74641776,-21.8633173,-6.166265842,0.001640814048,29.71083379,-0.001293576558
