Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-1.511233481e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,0.00017167389,26.44194947,-20.36256904,-0.00128536011,-6.079147326,0.001208491231
1,-1.510262621e-06,-2.48641356e-06,2.795554746e-06,-1.740100131e-06,4.896214617e-07,5.084596592e-08,0.0001715636019,26.42496242,-20.34948755,-0.001284534359,-6.07524191,0.001207714862
2,-1.507388494e-06,-2.481681754e-06,2.790234624e-06,-1.736788608e-06,4.886896804e-07,5.074920276e-08,0.0001712371052,26.37467401,-20.31076116,-0.001282089807,-6.063680332,0.001205416503
3,-1.502668773e-06,-2.473911465e-06,2.781498238e-06,-1.731350622e-06,4.871595646e-07,5.059030406e-08,0.0001707009519,26.29209337,-20.24716699,-0.001278075509,-6.044694597,0.001201642274
4,-1.496161134e-06,-2.463197644e-06,2.769452344e-06,-1.723852625e-06,4.850498123e-07,5.037121156e-08,0.0001699616937,26.17822964,-20.15948215,-0.00127254052,-6.018516709,0.001196438296
5,-1.48792325e-06,-2.449635244e-06,2.754203702e-06,-1.714361069e-06,4.823791215e-07,5.009386698e-08,0.0001690258823,26.03409196,-20.04848377,-0.001265533895,-5.985378675,0.00118985069
6,-1.478012797e-06,-2.433319218e-06,2.735859069e-06,-1.702942406e-06,4.7916619e-07,4.976021208e-08,0.0001679000695,25.86068944,-19.91494896,-0.001257104688,-5.945512498,0.001181925578
7,-1.466487451e-06,-2.414344519e-06,2.714525205e-06,-1.689663088e-06,4.754297159e-07,4.937218857e-08,0.0001665908071,25.65903123,-19.75965484,-0.001247301953,-5.899150183,0.00117270908
8,-1.453404884e-06,-2.392806099e-06,2.690308866e-06,-1.674589567e-06,4.711883971e-07,4.89317382e-08,0.0001651046469,25.43012645,-19.58337853,-0.001236174745,-5.846523736,0.001162247317
9,-1.438822773e-06,-2.368798911e-06,2.663316812e-06,-1.657788295e-06,4.664609315e-07,4.844080271e-08,0.0001634481407,25.17498425,-19.38689715,-0.001223772119,-5.787865161,0.001150586409
10,-1.422798792e-06,-2.342417907e-06,2.633655801e-06,-1.639325723e-06,4.612660171e-07,4.790132382e-08,0.0001616278401,24.89461374,-19.17098781,-0.001210143129,-5.723406464,0.001137772479
11,-1.405390616e-06,-2.313758041e-06,2.601432591e-06,-1.619268304e-06,4.556223518e-07,4.731524328e-08,0.000159650297,24.59002406,-18.93642763,-0.001195336829,-5.653379648,0.001123851646
12,-1.386655919e-06,-2.282914264e-06,2.566753941e-06,-1.597682491e-06,4.495486336e-07,4.668450282e-08,0.0001575220631,24.26222435,-18.68399374,-0.001179402275,-5.57801672,0.001108870032
13,-1.366652377e-06,-2.249981529e-06,2.529726608e-06,-1.574634733e-06,4.430635605e-07,4.601104417e-08,0.0001552496903,23.91222373,-18.41446325,-0.001162388521,-5.497549684,0.001092873758
14,-1.345437664e-06,-2.215054789e-06,2.490457351e-06,-1.550191485e-06,4.361858304e-07,4.529680908e-08,0.0001528397303,23.54103135,-18.12861327,-0.001144344621,-5.412210544,0.001075908945
15,-1.323069455e-06,-2.178228997e-06,2.449052928e-06,-1.524419197e-06,4.289341413e-07,4.454373927e-08,0.0001502987348,23.14965632,-17.82722093,-0.00112531963,-5.322231306,0.001058021712
16,-1.299605425e-06,-2.139599105e-06,2.405620097e-06,-1.497384322e-06,4.21327191e-07,4.375377649e-08,0.0001476332557,22.73910778,-17.51106334,-0.001105362603,-5.227843976,0.001039258183
17,-1.275103249e-06,-2.099260065e-06,2.360265618e-06,-1.469153311e-06,4.133836776e-07,4.292886246e-08,0.0001448498447,22.31039487,-17.18091763,-0.001084522593,-5.129280556,0.001019664476
18,-1.249620601e-06,-2.057306831e-06,2.313096247e-06,-1.439792617e-06,4.051222991e-07,4.207093893e-08,0.0001419550536,21.86452671,-16.83756091,-0.001062848656,-5.026773053,0.0009992867141
19,-1.223215157e-06,-2.013834355e-06,2.264218744e-06,-1.409368692e-06,3.965617532e-07,4.118194763e-08,0.0001389554341,21.40251244,-16.48177029,-0.001040389847,-4.920553472,0.0009781710171
20,-1.19594459e-06,-1.96893759e-06,2.213739867e-06,-1.377947987e-06,3.877207381e-07,4.026383029e-08,0.000135857538,20.9253612,-16.11432291,-0.001017195219,-4.810853817,0.0009563635063
21,-1.167866577e-06,-1.922711488e-06,2.161766374e-06,-1.345596954e-06,3.786179517e-07,3.931852866e-08,0.0001326679172,20.4340821,-15.73599586,-0.0009933138269,-4.697906093,0.0009339103025
22,-1.139038791e-06,-1.875251002e-06,2.108405023e-06,-1.312382046e-06,3.692720919e-07,3.834798446e-08,0.0001293931233,19.92968429,-15.34756629,-0.000968794726,-4.581942306,0.0009108575267
23,-1.109518907e-06,-1.826651085e-06,2.053762572e-06,-1.278369714e-06,3.597018567e-07,3.735413943e-08,0.0001260397081,19.41317689,-14.94981129,-0.0009436869704,-4.463194459,0.0008872512998
