Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,43,0.2725540274,43,0.2725540274,-12.51592009,-15.02710288,9.745294554,-1.741218739e-06,5.399699963,1.593207235e-05,-12.66241987,-23.43612548,-6.999697621,-5.4852897e-05,29.69089509,-0.0004785084347,-12.51592009,-15.02710288,9.745294554,-1.741218739e-06,5.399699963,1.593207235e-05,-12.66241987,-23.43612548,-6.999697621,-5.4852897e-05,29.69089509,-0.0004785084347
q1,1,53,0.6557616161,63,0.3511742102,-5.48967144,-15.02710511,9.745296536,-1.741218739e-06,5.399695898,2.243558107e-05,-5.555832719,-23.43612873,-6.999697621,-5.08383826e-05,29.69089509,-0.0004720049261,-9.176705588,-14.04654963,5.897754871,0.01481998257,5.374015426,-0.0115131891,-6.418479269,-18.51416387,-4.931939338,-0.01178842008,29.48740159,-0.0120076296
peak,1,61,0.927237021,103,0.3555616547,0.3677020878,-15.02710697,9.745298189,-1.741218739e-06,5.39969251,2.785717681e-05,0.3685143277,-23.43613145,-6.999697621,-4.749171619e-05,29.69089509,-0.0004665833304,7.480895891,-14.84248114,4.373660274,-0.02444470338,5.563155053,-0.01500299766,3.068066479,-15.73379744,-3.408428287,0.06530150021,29.35112269,-0.01549743817
q3,1,68,0.6559375119,118,0.349400214,5.489386446,-15.0271086,9.745299633,-1.741218739e-06,5.399689547,3.25978173e-05,5.548760295,-23.43613382,-6.999697621,-4.456539282e-05,29.69089509,-0.0004618426899,9.527090758,-15.07057804,7.271058895,-0.01553857766,5.466065332,-0.01150206269,7.470581112,-19.9648803,-5.381846481,0.02880210302,29.53228354,-0.0119965032
Tail,1,77,0.2645938238,132,0.2645938238,11.83803458,-15.02711062,9.745301424,-1.741218739e-06,5.399685874,3.847413772e-05,11.96999921,-23.43613675,-6.999697621,-4.093803196e-05,29.69089509,-0.0004559663695,11.83803458,-15.02711062,9.745301424,-1.741218739e-06,5.399685874,3.847413772e-05,11.96999921,-23.43613675,-6.999697621,-4.093803196e-05,29.69089509,-0.0004559663695
Head,2,59,0.3382751987,59,0.3382751987,-9.884601393,-14.26172344,6.897928635,0.01250310539,5.372911681,-0.008721177414,-7.56487175,-19.82747154,-5.497125565,-0.01184227595,29.5423082,-0.00921561792,-9.884601393,-14.26172344,6.897928635,0.01250310539,5.372911681,-0.008721177414,-7.56487175,-19.82747154,-5.497125565,-0.01184227595,29.5423082,-0.00921561792
q1,2,72,0.4116870728,73,0.3499750825,-6.228006166,-13.86185736,4.21300734,0.01185638683,5.410318813,-0.01535410797,-4.109507034,-16.15256914,-3.857461495,0.002070875716,29.38597527,-0.01584854848,-7.746981409,-12.62141993,3.090227561,0.00839000889,5.152013367,-0.02317138289,-4.673995799,-16.27563275,-4.086626066,-0.01125304938,29.40548809,-0.0236658234
peak,2,84,0.4670836308,87,0.3584003399,-0.5275791371,-14.10539771,3.241967814,-0.003301782178,5.495654082,-0.01639719731,-1.392854851,-14.51587042,-3.009651058,0.03603959831,29.31035518,-0.01689163782,-4.046799569,-11.17450733,-0.3808060259,0.002739448452,4.925626278,-0.02846677085,-1.607769973,-13.35396081,-2.906427979,0.004333496008,29.30310327,-0.02896121135
q3,2,95,0.4103957653,107,0.3519364441,4.703437551,-14.5477706,3.525134708,-0.01846506967,5.558059393,-0.01548787504,1.07955541,-14.62820734,-2.948235909,0.06186127582,29.30815998,-0.01598231555,5.032717647,-12.35789943,1.32078916,-0.0310667265,5.190122827,-0.02588303086,1.969954485,-13.88011082,-2.934058761,0.03781389249,29.30272771,-0.02637747137
Tail,2,109,0.3461029197,122,0.3461029197,8.650728376,-14.98664601,5.340347478,-0.02391719424,5.534822078,-0.01491783763,4.742344486,-17.13806558,-4.053655964,0.05537043773,29.40931781,-0.01541227813,8.650728376,-14.98664601,5.340347478,-0.02391719424,5.534822078,-0.01491783763,4.742344486,-17.13806558,-4.053655964,0.05537043773,29.40931781,-0.01541227813
