round,inner_step,G_norm,d_norm,alpha
1,1,15.89687346,15.89687346,0.4469267671
1,2,6.839768175,7.442418282,0.5023252276
1,3,3.486311659,3.976779496,0.5471144177
1,4,0.914818308,0.9504838347,0.72071155
1,5,1.185736708,1.185736708,0.5009661994
1,6,0.6826484485,0.7974069989,0.4760377731
1,7,0.1229741845,0.1308651055,0.4117622241
1,8,3.634091847,3.634091847,0.6616005623
1,9,2.615869776,3.236091577,0.5706263167
1,10,1.236516671,1.441417484,0.4873817859
1,11,0.5507543678,0.6248124251,0.6825315843
1,12,0.379837148,0.482059451,0.4496020313
1,13,0.04903390469,0.04948651758,0.5588820762
1,14,13.26753779,13.26753779,0.267002545
1,15,2.764646563,2.822040091,0.4274493951
1,16,1.701041701,2.001072231,0.3341889728
1,17,0.6389256392,0.6940212635,0.3836529176
1,18,0.3402656151,0.3878323797,0.3459686736
1,19,0.1875770607,0.2137706262,0.6992520438
1,20,0.1230530071,0.1423421174,0.3161111611
1,21,7.0230634,7.0230634,0.2221197817
1,22,1.176459599,1.19084291,0.2086682175
1,23,0.2787732108,0.2834920757,0.5515820308
1,24,0.2317263015,0.2890701793,0.4519644121
1,25,0.1219901584,0.1343079583,0.437696491
1,26,0.04810066824,0.04666187178,0.1864640655
1,27,27.30806702,27.30806702,0.05826240919
1,28,5.740567112,5.863672532,0.07605159943
1,29,1.755362462,1.840447223,0.2706782717
1,30,2.367171743,4.108419423,0.1025648746
1,31,1.654647792,2.61140255,0.06421565521
1,32,0.9024435684,1.20304061,0.07833805483
1,33,0.7292172654,1.089065749,0.1309513072
1,34,0.8982291947,1.895357109,0.1072314801
1,35,0.6752222305,1.273780658,0.06173603668
1,36,0.3880410827,0.5765544844,0.09015059772
1,37,0.3650009068,0.6368736273,0.1052148518
1,38,0.3339564939,0.6427220356,0.07063519785
1,39,0.1787702906,0.2672252202,0.05353551905
1,40,0.08605678434,0.1126557018,0.07300174474
1,41,6.644039737,6.644039737,0.05622873581
1,42,0.8242779225,0.8294016629,0.1531758775
1,43,0.5367344038,0.6432072976,0.209041042
1,44,0.3837493742,0.5170529663,0.06931208199
1,45,0.1466375805,0.1741833512,0.3255720406
1,46,0.2087775533,0.4276934049,0.1246051552
1,47,0.1333088958,0.230860385,0.1394123894
1,48,0.1069299308,0.1956231599,0.1934682107
1,49,0.10824856,0.248381645,0.1121529553
1,50,0.06254986893,0.1204306238,0.5491369566
2,1,6.811606691,6.811606691,0.8275358442
2,2,3.125222306,3.42380845,0.4429926286
2,3,1.257747009,1.364592166,0.4017367918
2,4,0.5122244741,0.553210397,0.8891137475
2,5,0.7365259957,0.7365259957,0.728860201
2,6,0.4473215509,0.5381527605,0.3692078744
2,7,3.075418564,3.075418564,0.9242159594
2,8,1.929743363,2.291535135,0.3702768943
2,9,0.5811131194,0.6217894526,0.6832052036
2,10,0.3579783007,0.4305762031,0.4962262538
2,11,0.145303765,0.1614930752,0.3911990549
2,12,5.284096029,5.284096029,0.3349327363
2,13,1.211512783,1.24029957,0.5245731481
2,14,0.6191800743,0.6939024682,0.2628011407
2,15,0.1054579352,0.1050451658,0.6531595775
2,16,26.98827931,26.98827931,0.1039491624
2,17,5.558710367,5.673269218,0.1058965077
2,18,2.229199312,2.405878394,0.3621624303
2,19,1.592432499,2.005098561,0.1117866795
2,20,0.5362360146,0.5775885474,0.2303279106
2,21,0.5417258964,0.7948975712,0.1546213325
2,22,0.2161378551,0.2475730671,0.1275931513
2,23,0.1286925292,0.1619531792,0.623896104
2,24,0.1986787288,0.4412131566,0.1456710559
2,25,0.1123712738,0.1854268573,0.1843423074
2,26,0.09662632166,0.1811102095,0.1484837766
2,27,5.149504351,5.149504351,0.09580523979
2,28,0.5630789479,0.5656569201,0.09154477435
2,29,0.2826935656,0.3099018455,0.618500897
2,30,0.2662756805,0.3783999835,0.1320227496
2,31,0.1241804714,0.1485921137,0.3750403541
2,32,0.1536798241,0.2821098602,0.1410604356
2,33,0.07536934246,0.1058914712,0.3569493947
