Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,43,0.2725962467,43,0.2725962467,-12.51557733,-15.02723492,9.745411736,-1.741218739e-06,5.39996014,5.087865181e-08,-12.65436434,-23.43631774,-6.999947872,-2.094445254e-05,29.69089509,-9.398695035e-05,-12.51557733,-15.02723492,9.745411736,-1.741218739e-06,5.39996014,5.087865181e-08,-12.65436434,-23.43631774,-6.999947872,-2.094445254e-05,29.69089509,-9.398695035e-05
q1,1,53,0.6558987679,76,0.3514021607,-5.48949142,-15.02723715,9.745413718,-1.741218739e-06,5.399964205,5.087865181e-08,-5.550439571,-23.436321,-6.999951937,-1.692993815e-05,29.69089509,-8.748344169e-05,-9.139013997,-7.432646527,6.319843943,-0.0003527836994,4.83069516,-0.01153490355,-7.595107416,-12.29313513,-1.810764435,-0.04668422966,30.05251877,-0.01162310815
peak,1,61,0.9272328903,121,0.3780279741,0.3677464375,-15.02723901,9.74541537,-1.741218739e-06,5.399967593,5.087865181e-08,0.3716880093,-23.43632371,-6.999955325,-1.358327173e-05,29.69089509,-8.206184599e-05,0.04540213104,4.990518144,4.516033691,-0.01515329566,4.259449036,-0.0150303443,-0.1021744348,0.498863924,3.79493508,-0.01214568668,30.62301003,-0.01511291677
q3,1,68,0.6559171872,166,0.3503966887,5.489312165,-15.02724064,9.745416815,-1.741218739e-06,5.399970556,5.087865181e-08,5.549993277,-23.43632608,-6.999958288,-1.065694837e-05,29.69089509,-7.732120554e-05,9.09432519,-7.58570043,6.157704917,-0.02270597328,4.826928647,-0.01153490357,7.294066069,-12.18036757,-1.73811028,0.02879605851,30.04675935,-0.01161198175
Tail,1,77,0.2645944475,198,0.2645944475,11.83781325,-15.02724266,9.745418606,-1.741218739e-06,5.399974229,5.087865181e-08,11.96882657,-23.43632901,-6.999961961,-7.029587506e-06,29.69089509,-7.144488516e-05,11.83781325,-15.02724266,9.745418606,-1.741218739e-06,5.399974229,5.087865181e-08,11.96882657,-23.43632901,-6.999961961,-7.029587506e-06,29.69089509,-7.144488516e-05
Head,2,65,0.3527072262,65,0.3527072262,-9.528087546,-11.22263763,7.76749624,0.0002765078358,5.090127424,-0.006821971587,-8.586295606,-17.47927142,-4.201676232,-0.02919519206,29.87351084,-0.006911523798,-9.528087546,-11.22263763,7.76749624,0.0002765078358,5.090127424,-0.006821971587,-8.586295606,-17.47927142,-4.201676232,-0.02919519206,29.87351084,-0.006911523798
q1,2,82,0.4012434387,80,0.3478690158,-8.593454061,-5.122893992,5.711522558,-0.001229473721,4.698385389,-0.01331494597,-6.91569689,-9.524561433,-0.5615232982,-0.05121292032,30.16008925,-0.0134024292,-7.401097663,-11.10933002,4.198775641,-0.009207013067,4.900818371,-0.01964463306,-5.372385909,-13.09781347,-1.859528757,-0.05503798196,29.86663878,-0.01973081484
peak,2,94,0.4565141603,95,0.3697841705,-6.68368461,-0.5926097609,4.948988747,-0.004130927935,4.479546236,-0.01507707236,-5.172181424,-4.710520103,1.561977381,-0.04903624277,30.36868488,-0.01516307682,-3.036359107,-11.11185602,1.674038887,-0.009583795782,4.783739213,-0.02286620066,-0.8619468305,-10.67947107,-0.5644126811,-0.04818029561,29.83243425,-0.02294862158
q3,2,111,0.4035039196,119,0.3550762992,-2.67731898,4.101328316,4.566162582,-0.01046012798,4.291897297,-0.01520071932,-2.089374095,-0.3046868049,3.453359843,-0.02860458791,30.58257897,-0.01528457243,5.563279426,-12.63152243,3.84136981,-0.01193809675,4.974734157,-0.01692450677,5.58531529,-13.81095239,-2.06817352,-0.01025663026,29.80694877,-0.01700209174
Tail,2,199,0.2630027305,152,0.2630027305,12.51539807,-15.02724287,9.745418797,-1.741218739e-06,5.399974621,5.087865181e-08,12.65391805,-23.43632933,-6.999962353,-6.64243397e-06,29.69089509,-7.081769688e-05,12.51539807,-15.02724287,9.745418797,-1.741218739e-06,5.399974621,5.087865181e-08,12.65391805,-23.43632933,-6.999962353,-6.64243397e-06,29.69089509,-7.081769688e-05
