Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2601081877,44,0.2601081877,11.65218885,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,11.96946941,-23.15615844,-6.562785263,-0.0002104802542,29.71908189,-1.651324454e-05,11.65218885,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,11.96946941,-23.15615844,-6.562785263,-0.0002104802542,29.71908189,-1.651324454e-05
q1,1,52,0.616396036,58,0.3496009291,5.967894353,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,6.281600911,-23.15615844,-6.562785263,-0.000213694622,29.71908189,-2.172051654e-05,9.477667622,-15.11152497,7.654432288,-0.01773422336,4.920007988,-0.01142504025,7.552074544,-19.76739325,-5.006289234,0.02468394442,29.56626285,-0.01155685339
peak,1,60,0.9250455731,73,0.3529992986,0.06264024115,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,0.3726338669,-23.15615844,-6.562785263,-0.0002170339385,29.71908189,-2.713020537e-05,7.523112059,-14.87945452,4.646267874,-0.02881642773,4.974758643,-0.01492048098,3.115002984,-15.61747573,-3.096294768,0.05806972101,29.39131304,-0.0150577334
q3,1,68,0.6388610619,112,0.3507674709,-5.855611495,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,-5.549338973,-23.15615844,-6.562785263,-0.0002203806049,29.71908189,-3.255180107e-05,-9.232365144,-14.08912103,6.254530026,0.009564770859,4.833255267,-0.01142504025,-6.168039713,-18.21611279,-4.506048668,-0.01710565705,29.51675302,-0.01156779438
Tail,1,77,0.2850654764,131,0.2850654764,-12.27024387,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,-11.96800455,-23.15615844,-6.562785263,-0.0002240079657,29.71908189,-3.842812145e-05,-12.27024387,-15.0880424,10.20012312,-0.0001373749966,4.887850204,0.0001099141608,-11.96800455,-23.15615844,-6.562785263,-0.0002240079657,29.71908189,-3.842812145e-05
Head,2,68,0.3443253908,68,0.3443253908,8.53322057,-15.00500569,5.46220439,-0.02807464072,4.963411279,-0.01491512807,4.51323876,-16.73887518,-3.603326972,0.05119767164,29.43687727,-0.01505084433,8.53322057,-15.00500569,5.46220439,-0.02807464072,4.963411279,-0.01491512807,4.51323876,-16.73887518,-3.603326972,0.05119767164,29.43687727,-0.01505084433
q1,2,81,0.412772891,83,0.3525270877,4.628707464,-14.57099164,3.743795267,-0.02365866328,4.962369596,-0.01544483716,1.066144642,-14.46910644,-2.622923122,0.05332178226,29.34712523,-0.01558379244,5.001452292,-12.37119794,1.425312855,-0.03702583238,4.545822391,-0.02584770505,1.821199861,-13.80964705,-2.695702429,0.03027731096,29.34946632,-0.02598566323
peak,2,92,0.4673259701,103,0.3583029956,-0.8473101171,-14.1104038,3.467749695,-0.009156682468,4.906174416,-0.01643620362,-1.445941579,-14.30887513,-2.661538156,0.02580650484,29.3469145,-0.01657643386,-4.097029968,-11.1995146,-0.2118729833,-0.005675899785,4.282607409,-0.0284011424,-1.573110555,-13.28445296,-2.681249111,-0.001678746478,29.34993772,-0.02854104337
q3,2,103,0.4106695671,117,0.3499751191,-6.251332956,-13.88512334,4.436939894,0.005029680388,4.848298797,-0.01545403141,-3.922943679,-15.78836209,-3.417123017,-0.005180147716,29.41399119,-0.01559531341,-7.768815879,-12.65174315,3.380735257,0.00135842897,4.568909587,-0.02304406139,-4.505495327,-16.07319675,-3.747418472,-0.01642759512,29.44255694,-0.02318580636
Tail,2,116,0.3412641357,131,0.3412641357,-9.883969226,-14.32412625,7.338142469,0.008282431313,4.842028735,-0.008463989367,-7.267982026,-19.59644135,-5.09281098,-0.01551465948,29.57379123,-0.008607717237,-9.883969226,-14.32412625,7.338142469,0.008282431313,4.842028735,-0.008463989367,-7.267982026,-19.59644135,-5.09281098,-0.01551465948,29.57379123,-0.008607717237
