Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
29,7.452314117e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-5.596793449e-06,-2.250811024,-6.801076913,-5.287308219e-05,9.051886115,9.525906612e-06
30,7.277205522e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-7.951300606e-06,-2.383493568,-7.201991928,-5.617620943e-05,9.585483674,1.332588644e-05
31,7.099544917e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-1.034012205e-05,-2.51810981,-7.608749828,-5.952747602e-05,10.12685782,1.718124669e-05
32,6.919554216e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-1.276027393e-05,-2.654491603,-8.020842535,-6.292269594e-05,10.67533232,2.108717167e-05
33,6.737455332e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-1.52087724e-05,-2.792470799,-8.437761973,-6.635768315e-05,11.23023095,2.503884569e-05
34,6.55347018e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-1.76826336e-05,-2.931879251,-8.859000064,-6.982825162e-05,11.79087749,2.903145308e-05
35,6.367820673e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-2.017887368e-05,-3.07254881,-9.284048732,-7.333021533e-05,12.35659572,3.306017812e-05
36,6.180728725e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-2.269450879e-05,-3.21431133,-9.7123999,-7.685938824e-05,12.92670941,3.712020515e-05
37,5.99241625e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-2.522655509e-05,-3.356998661,-10.14354549,-8.041158432e-05,13.50054233,4.120671846e-05
38,5.803105163e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-2.777202872e-05,-3.500442658,-10.57697743,-8.398261753e-05,14.07741826,4.531490238e-05
39,5.613017377e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-3.032794582e-05,-3.644475171,-11.01218763,-8.756830186e-05,14.65666098,4.94399412e-05
40,5.422374807e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-3.289132255e-05,-3.788928053,-11.44866803,-9.116445126e-05,15.23759426,5.357701925e-05
41,5.231399365e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-3.545917506e-05,-3.933633157,-11.88591055,-9.476687971e-05,15.81954188,5.772132083e-05
42,5.040312966e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-3.80285195e-05,-4.078422335,-12.3234071,-9.837140118e-05,16.40182761,6.186803026e-05
43,4.849337525e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-4.059637201e-05,-4.223127439,-12.76064961,-0.0001019738296,16.98377523,6.601233184e-05
44,4.658694954e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-4.315974874e-05,-4.367580321,-13.19713001,-0.000105569979,17.56470851,7.014940988e-05
45,4.468607168e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-4.571566584e-05,-4.511612835,-13.63234022,-0.0001091556634,18.14395123,7.427444871e-05
46,4.279296081e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-4.826113947e-05,-4.655056831,-14.06577215,-0.0001127266966,18.72082716,7.838263262e-05
47,4.090983607e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-5.079318577e-05,-4.797744163,-14.49691774,-0.0001162788926,19.29466008,8.246914594e-05
