Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.3245383844,44,0.3245383844,11.83843261,-21.72048569,17.54337014,-0.000618767909,4.17697837,0.0006316203025,11.97306479,-38.96428408,-6.948913267,-0.0002341983322,45.91325205,-0.0001098681439,11.83843261,-21.72048569,17.54337014,-0.000618767909,4.17697837,0.0006316203025,11.97306479,-38.96428408,-6.948913267,-0.0002341983322,45.91325205,-0.0001098681439
q1,1,52,0.6732310924,65,0.4022100965,6.212562941,-21.68624561,17.31575428,-0.0005994817026,4.370353591,0.0006055839423,6.283482235,-38.96423461,-6.948900249,-0.0002341983322,45.913213,-0.0001098681439,12.11670702,-14.44716333,21.16708237,-0.06174779005,4.826235829,-0.01093135198,6.00829198,-38.89929358,-6.976435119,-0.01176918318,45.90167516,-0.0116448225
peak,1,60,0.9784211814,97,0.4021262923,0.3680047418,-21.65067456,17.07929055,-0.0005794458036,4.571245684,0.0005785354979,0.3727345029,-38.96418322,-6.948886725,-0.0002341983322,45.91317243,-0.0001098681439,0.2959387496,-7.553697911,24.87238692,-0.01879842255,5.510908025,-0.01445540503,-0.4006548197,-38.87697276,-7.004623391,-0.01526455042,45.8981366,-0.01514026335
q3,1,70,0.6748568573,130,0.405182193,-6.931662993,-21.60624744,16.78395486,-0.0005544216017,4.822153535,0.0005447528492,-7.009601857,-38.96411903,-6.948869834,-0.0002341983322,45.91312175,-0.0001098681439,-11.90830707,-14.88130173,20.35456277,0.03324390591,5.22318664,-0.01098964026,-7.043705889,-38.90241857,-6.974546568,-0.01176918318,45.90158772,-0.0116448225
Tail,1,79,0.3271983743,151,0.3271983743,-13.18629569,-21.5681806,16.53090001,-0.0005329799145,5.037140915,0.0005158065921,-13.33506817,-38.96406403,-6.94885536,-0.0002341983322,45.91307833,-0.0001098681439,-13.18629569,-21.5681806,16.53090001,-0.0005329799145,5.037140915,0.0005158065921,-13.33506817,-38.96406403,-6.94885536,-0.0002341983322,45.91307833,-0.0001098681439
