Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,0.000192344682,54.19795985,-53.3296237,-0.01064899278,-0.8676444186,0.01065678924,65.40065004,-58.11341857,-32.66402427,-23.01365809,91.11277772,-6.327081304
1,0.000192344682,54.19795998,-53.32962388,-0.01064899278,-0.8676444789,0.01065678924,65.40041101,-58.12204363,-32.65815306,-23.01788881,91.14626784,-6.328952329
2,0.000192344682,54.19796037,-53.3296244,-0.01064899278,-0.8676446557,0.01065678924,65.39970973,-58.14734855,-32.6409276,-23.03030126,91.24452397,-6.334441699
3,0.000192344682,54.197961,-53.32962524,-0.01064899278,-0.8676449431,0.01065678924,65.39856989,-58.18847796,-32.61293016,-23.05047587,91.40422479,-6.34336386
4,0.000192344682,54.19796187,-53.32962639,-0.01064899278,-0.8676453352,0.01065678924,65.39701522,-58.24457647,-32.57474301,-23.07799304,91.62204894,-6.355533253
5,0.000192344682,54.19796294,-53.32962782,-0.01064899278,-0.8676458258,0.01065678924,65.39506941,-58.31478872,-32.52694841,-23.11243322,91.89467511,-6.370764324
6,0.000192344682,54.19796423,-53.32962953,-0.01064899278,-0.8676464092,0.01065678924,65.39275616,-58.39825933,-32.47012865,-23.15337682,92.21878196,-6.388871516
7,0.000192344682,54.1979657,-53.32963149,-0.01064899278,-0.8676470792,0.01065678924,65.39009919,-58.49413291,-32.40486598,-23.20040427,92.59104815,-6.409669273
8,0.000192344682,54.19796735,-53.32963368,-0.01064899278,-0.8676478299,0.01065678924,65.3871222,-58.60155408,-32.33174268,-23.25309599,93.00815235,-6.432972038
9,0.000192344682,54.19796916,-53.3296361,-0.01064899278,-0.8676486553,0.01065678924,65.38384888,-58.71966748,-32.25134102,-23.31103241,93.46677323,-6.458594256
10,0.000192344682,54.19797113,-53.32963871,-0.01064899278,-0.8676495494,0.01065678924,65.38030296,-58.84761772,-32.16424326,-23.37379395,93.96358944,-6.48635037
