Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-29.67283919,-15.47265026,10.23629886,-1.741218739e-06,4.908998877,5.087865181e-08,-30.00163649,-22.67265014,-6.563574905,7.097766789e-05,30.10902788,-0.0002197314252
1,-29.66272046,-15.47433286,10.23744672,-1.762478651e-06,4.90953363,7.182131203e-08,-29.99151092,-22.67639055,-6.560774829,7.094125826e-05,30.10996822,-0.0002196962284
2,-29.63256818,-15.47934678,10.24086717,-1.825829976e-06,4.91112711,1.342272744e-07,-29.96133823,-22.68753644,-6.552431025,7.08327631e-05,30.11277032,-0.0002195913474
3,-29.5826882,-15.48764114,10.24652552,-1.930630097e-06,4.913763156,2.374635113e-07,-29.9114245,-22.70597472,-6.53862813,7.065328292e-05,30.11740574,-0.000219417846
4,-29.51338637,-15.49916509,10.25438706,-2.076236397e-06,4.917425602,3.808969953e-07,-29.84207578,-22.73159235,-6.519450782,7.040391829e-05,30.12384606,-0.000219176788
5,-29.42496856,-15.51386777,10.2644171,-2.262006259e-06,4.922098285,5.638946989e-07,-29.75359814,-22.76427626,-6.494983618,7.008576973e-05,30.13206286,-0.0002188692375
6,-29.31774061,-15.53169832,10.27658095,-2.487297066e-06,4.927765042,7.858235946e-07,-29.64629764,-22.8039134,-6.465311274,6.96999378e-05,30.14202771,-0.0002184962582
7,-29.1920084,-15.55260588,10.29084391,-2.751466201e-06,4.934409709,1.046050655e-06,-29.52048034,-22.85039069,-6.430518387,6.924752303e-05,30.15371219,-0.000218058914
8,-29.04807776,-15.57653958,10.30717128,-3.053871047e-06,4.942016121,1.343942852e-06,-29.37645231,-22.90359509,-6.390689596,6.872962597e-05,30.16708788,-0.0002175582689
9,-28.88625456,-15.60344858,10.32552837,-3.393868987e-06,4.950568115,1.678867159e-06,-29.21451961,-22.96341352,-6.345909536,6.814734717e-05,30.18212634,-0.0002169953866
10,-28.70684465,-15.63328201,10.34588048,-3.770817404e-06,4.960049527,2.050190548e-06,-29.0349883,-23.02973294,-6.296262845,6.750178716e-05,30.19879917,-0.0002163713312
11,-28.51015388,-15.665989,10.36819292,-4.184073682e-06,4.970444193,2.457279991e-06,-28.83816444,-23.10244027,-6.24183416,6.679404648e-05,30.21707793,-0.0002156871664
12,-28.29648812,-15.70151871,10.39243098,-4.632995202e-06,4.981735951,2.899502461e-06,-28.62435411,-23.18142247,-6.182708118,6.602522569e-05,30.23693421,-0.0002149439561
13,-28.06615322,-15.73982027,10.41855998,-5.116939348e-06,4.993908635,3.376224931e-06,-28.39386335,-23.26656646,-6.118969355,6.519642531e-05,30.25833957,-0.0002141427643
14,-27.81945504,-15.78084282,10.44654522,-5.635263503e-06,5.006946081,3.886814372e-06,-28.14699823,-23.35775919,-6.05070251,6.430874591e-05,30.28126559,-0.0002132846548
