Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1803939444,0,0.1803939444
1,0.1804291811,1,0.1804291811
2,0.1805340707,2,0.1805340707
3,0.1807073245,3,0.1807073245
4,0.1809475797,4,0.1809475797
5,0.1812534009,5,0.1812534009
6,0.1816232819,6,0.1816232819
7,0.1820556464,7,0.1820556464
8,0.1825488481,8,0.1825488481
9,0.1831011707,9,0.1831011707
10,0.1837108266,10,0.1837108266
11,0.1843759567,11,0.1843759567
12,0.1850946288,12,0.1850946288
13,0.185864836,13,0.185864836
14,0.186684496,14,0.186684496
15,0.1875514489,15,0.1875514489
16,0.1884634562,16,0.1884634562
17,0.1894181997,17,0.1894181997
18,0.1921451275,18,0.1921451275
19,0.1951992059,19,0.1951992059
20,0.1983670864,20,0.1983670864
21,0.2016400265,21,0.2016400265
22,0.2050085081,22,0.2050085081
23,0.2084622018,23,0.2084622018
24,0.2119899371,24,0.2119899371
25,0.2155796818,25,0.2155796818
26,0.2192185288,26,0.2192185288
27,0.222892694,27,0.222892694
28,0.2265875256,28,0.2265875256
29,0.2302875239,29,0.2302875239
30,0.233976376,30,0.233976376
31,0.2376370031,31,0.2376370031
32,0.2412516222,32,0.2412516222
33,0.2448018227,33,0.2448018227
34,0.2482686577,34,0.2482686577
35,0.2516327502,35,0.2516327502
36,0.2548744133,36,0.2548744133
37,0.2579737841,37,0.2579737841
38,0.2609109705,38,0.2609109705
39,0.2636662086,39,0.2636662086
40,0.2662245623,40,0.2662245623
41,0.2959571335,41,0.2959571335
42,0.3296636333,42,0.3111661824
43,0.365608545,43,0.3257088663
44,0.4036013983,44,0.3395455094
45,0.4433768513,45,0.3526108556
46,0.4845913391,46,0.3648149056
47,0.5268224435,47,0.3760463417
48,0.5695714746,48,0.3861782085
49,0.6122696312,49,0.3950754596
50,0.6542879419,50,0.4026038877
51,0.6949509746,51,0.408639857
52,0.7335540611,52,0.4130801637
53,0.7693835278,53,0.4158512917
54,0.8017391736,54,0.4169173345
55,0.8417256651,55,0.4162859261
56,0.8869746512,56,0.4140116805
57,0.9250565647,57,0.4101968546
58,0.9547701881,58,0.4049892148
59,0.9751481261,59,0.3985773555
60,0.9855120544,60,0.3911839643
61,0.9855124259,61,0.3950123585
62,0.9751492282,62,0.3993605608
63,0.954771984,63,0.4030338324
64,0.9250589952,64,0.4063195191
65,0.8869776386,65,0.4091381516
66,0.8417291173,66,0.4115224428
67,0.790682282,67,0.41350429
68,0.7353018249,68,0.4151147001
69,0.6770762809,69,0.4163837379
70,0.6174508587,70,0.4173404916
71,0.5731072417,71,0.4180130451
72,0.5297798307,72,0.4184284562
73,0.4868902553,73,0.4186127339
74,0.4449644481,74,0.4185908141
75,0.4044515294,75,0.4183865319
76,0.3657200136,76,0.4180225886
77,0.3290574798,77,0.4175205148
78,0.2946732457,78,0.4169006291
79,0.270647942,79,0.4161819923
80,0.2685532461,80,0.4153823588
81,0.2662197921,81,0.4145181258
82,0.2636659264,82,0.4136042803
83,0.260910646,83,0.4126543468
84,0.257973419,84,0.4116803337
85,0.2548740093,85,0.4106926815
86,0.2516323091,86,0.4097002136
87,0.2482681813,87,0.4087100879
88,0.2448013128,88,0.4077277536
89,0.2412510807,89,0.4067569103
90,0.2376364319,90,0.4057994735
91,0.2339757769,91,0.4048555448
92,0.2302868987,92,0.4039233889
93,0.2268124904,93,0.4029994182
94,0.2264401558,94,0.4020781869
95,0.2260442093,95,0.4011523943
96,0.225627841,96,0.4002271627
97,0.2251942507,97,0.3992892696
98,0.2247466375,98,0.39834078
99,0.2242881889,99,0.3973853118
100,0.2238220712,100,0.3964279045
101,0.2233514198,101,0.3954748884
102,0.2228793299,102,0.3945337555
103,0.222408848,103,0.3936130332
104,0.2219429632,104,0.3927221589
105,0.2214845997,105,0.3918713584
106,0.2210366091,106,0.3910715235
107,0.220601763,107,0.3903340906
108,0.2201827463,108,0.3896709172
109,0.2197821502,109,0.3890941526
110,0.2194024662,110,0.3886161022
111,0.2190460794,111,0.38824908
112,0.2187152622,112,0.3880052438
113,0.2184121684,113,0.3878964108
114,0.2181388265,114,0.3879338435
115,0.2178971337,115,0.3881280019
116,0.2176888487,116,0.3884882509
117,0.2175155853,117,0.389022515
118,0.2173788048,118,0.3897368684
119,0.2172798084,119,0.390635049
120,0.2172197285,120,0.3917178819
121,0.2171995205,121,0.3929825987
nan,nan,122,0.3944220365
nan,nan,123,0.3960237022
nan,nan,124,0.397768686
nan,nan,125,0.3996304144
nan,nan,126,0.4015732324
nan,nan,127,0.4034826475
nan,nan,128,0.405085497
nan,nan,129,0.4060644117
nan,nan,130,0.4061369723
nan,nan,131,0.4050651831
nan,nan,132,0.402664101
nan,nan,133,0.3988084777
nan,nan,134,0.3934364435
nan,nan,135,0.3865495685
nan,nan,136,0.3794276087
nan,nan,137,0.3820856881
nan,nan,138,0.3828466547
nan,nan,139,0.3816780385
nan,nan,140,0.3785947464
nan,nan,141,0.3736509601
nan,nan,142,0.3669296259
nan,nan,143,0.358530618
nan,nan,144,0.3485587705
nan,nan,145,0.3371129787
nan,nan,146,0.3242775148
nan,nan,147,0.310116609
nan,nan,148,0.2946732457
nan,nan,149,0.270647942
nan,nan,150,0.2685532461
nan,nan,151,0.2662197921
nan,nan,152,0.2636659264
nan,nan,153,0.260910646
nan,nan,154,0.257973419
nan,nan,155,0.2548740093
nan,nan,156,0.2516323091
nan,nan,157,0.2482681813
nan,nan,158,0.2448013128
nan,nan,159,0.2412510807
nan,nan,160,0.2376364319
nan,nan,161,0.2339757769
nan,nan,162,0.2302868987
nan,nan,163,0.2268124904
nan,nan,164,0.2264401558
nan,nan,165,0.2260442093
nan,nan,166,0.225627841
nan,nan,167,0.2251942507
nan,nan,168,0.2247466375
nan,nan,169,0.2242881889
nan,nan,170,0.2238220712
nan,nan,171,0.2233514198
nan,nan,172,0.2228793299
nan,nan,173,0.222408848
nan,nan,174,0.2219429632
nan,nan,175,0.2214845997
nan,nan,176,0.2210366091
nan,nan,177,0.220601763
nan,nan,178,0.2201827463
nan,nan,179,0.2197821502
nan,nan,180,0.2194024662
nan,nan,181,0.2190460794
nan,nan,182,0.2187152622
nan,nan,183,0.2184121684
nan,nan,184,0.2181388265
nan,nan,185,0.2178971337
nan,nan,186,0.2176888487
nan,nan,187,0.2175155853
nan,nan,188,0.2173788048
nan,nan,189,0.2172798084
nan,nan,190,0.2172197285
nan,nan,191,0.2171995205
