Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-30.29086947,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-30.0024948,-22.6726776,-6.563574905,-3.074766548e-05,30.10906221,-0.0001098681439
1,-30.27865033,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.99026714,-22.6726776,-6.563574905,-3.073384609e-05,30.10906221,-0.0001098681439
2,-30.24226367,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.95385512,-22.6726776,-6.563574905,-3.069269416e-05,30.10906221,-0.0001098681439
3,-30.18211569,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.89366522,-22.6726776,-6.563574905,-3.062466906e-05,30.10906221,-0.0001098681439
4,-30.09861256,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.81010388,-22.6726776,-6.563574905,-3.053023017e-05,30.10906221,-0.0001098681439
5,-29.99216045,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.70357758,-22.6726776,-6.563574905,-3.040983684e-05,30.10906221,-0.0001098681439
6,-29.86316554,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.57449276,-22.6726776,-6.563574905,-3.026394846e-05,30.10906221,-0.0001098681439
7,-29.712034,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.42325589,-22.6726776,-6.563574905,-3.00930244e-05,30.10906221,-0.0001098681439
8,-29.53917202,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.25027342,-22.6726776,-6.563574905,-2.989752402e-05,30.10906221,-0.0001098681439
9,-29.34498577,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-29.05595182,-22.6726776,-6.563574905,-2.967790669e-05,30.10906221,-0.0001098681439
10,-29.12988142,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-28.84069755,-22.6726776,-6.563574905,-2.943463179e-05,30.10906221,-0.0001098681439
11,-28.89426516,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-28.60491707,-22.6726776,-6.563574905,-2.916815868e-05,30.10906221,-0.0001098681439
12,-28.63854316,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-28.34901683,-22.6726776,-6.563574905,-2.887894674e-05,30.10906221,-0.0001098681439
13,-28.36312159,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-28.07340329,-22.6726776,-6.563574905,-2.856745533e-05,30.10906221,-0.0001098681439
14,-28.06840664,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-27.77848292,-22.6726776,-6.563574905,-2.823414384e-05,30.10906221,-0.0001098681439
15,-27.75480447,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-27.46466218,-22.6726776,-6.563574905,-2.787947161e-05,30.10906221,-0.0001098681439
16,-27.42272127,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-27.13234752,-22.6726776,-6.563574905,-2.750389804e-05,30.10906221,-0.0001098681439
17,-27.07256321,-15.02722946,10.23633234,3.216722572e-05,5.399950214,5.087865181e-08,-26.78194541,-22.6726776,-6.563574905,-2.710788248e-05,30.10906221,-0.0001098681439
