Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.04149323459,0,0.04149323459
1,0.04149485324,1,0.04149485324
2,0.04149966627,2,0.04149966627
3,0.04150760432,3,0.04150760432
4,0.04151859174,4,0.04151859174
5,0.04153254697,5,0.04153254697
6,0.0415493828,6,0.0415493828
7,0.04156900674,7,0.04156900674
8,0.04159132129,8,0.04159132129
9,0.04161622422,9,0.04161622422
10,0.04164360884,10,0.04164360884
11,0.04167336421,11,0.04167336421
12,0.04170537544,12,0.04170537544
13,0.04173952387,13,0.04173952387
14,0.04177568734,14,0.04177568734
15,0.04181374038,15,0.04181374038
16,0.04185355445,16,0.04185355445
17,0.04189499815,17,0.04189499815
18,0.04193793747,18,0.04193793747
19,0.04198223599,19,0.04198223599
20,0.04202775511,20,0.04202775511
21,0.0420743543,21,0.0420743543
22,0.04212189131,22,0.04212189131
23,0.04217022245,23,0.04217022245
24,0.04221920284,24,0.04221920284
25,0.04226868662,25,0.04226868662
26,0.04231852728,26,0.04231852728
27,0.04236857791,27,0.04236857791
28,0.04241869146,28,0.04241869146
29,0.04246872107,29,0.04246872107
30,0.04251852036,30,0.04251852036
31,0.04256794372,31,0.04256794372
32,0.04261684663,32,0.04261684663
33,0.04266508601,33,0.04266508601
34,0.04271252051,34,0.04271252051
35,0.04275901086,35,0.04275901086
36,0.04280442021,36,0.04280442021
37,0.04284861448,37,0.04284861448
38,0.04289146269,38,0.04289146269
39,0.04293283728,39,0.04293283728
40,0.04297261454,40,0.04297261454
41,0.04301067486,41,0.04301067486
42,0.04304690312,42,0.04304690312
43,0.04308118903,43,0.04308118903
44,0.04311342745,44,0.04311342745
45,0.04314351872,45,0.04314351872
46,0.04317136898,46,0.04317136898
47,0.04319689046,47,0.04319689046
48,0.04322000182,48,0.04322000182
49,0.04324062837,49,0.04324062837
50,0.04325870237,50,0.04325870237
51,0.04327416332,51,0.04327416332
52,0.0432869581,52,0.0432869581
53,0.04329704127,53,0.04329704127
54,0.04330437522,54,0.04330437522
55,0.04330893036,55,0.04330893036
56,0.04331068527,56,0.04331068527
57,0.04330962681,57,0.04330962681
58,0.04330575022,58,0.04330575022
59,0.04329905925,59,0.04329905925
60,0.04328956612,60,0.04328956612
61,0.04327729164,61,0.04327729164
62,0.04326226513,62,0.04326226513
63,0.04324452443,63,0.04324452443
64,0.04322411587,64,0.04322411587
65,0.04320109411,65,0.04320109411
66,0.0431755221,66,0.0431755221
67,0.04314747095,67,0.04314747095
68,0.04311701969,68,0.04311701969
69,0.04308425519,69,0.04308425519
70,0.04304927188,70,0.04304927188
71,0.04301217153,71,0.04301217153
72,0.04297306302,72,0.04297306302
73,0.04293206206,73,0.04293206206
74,0.04288929087,74,0.04288929087
75,0.04284487789,75,0.04284487789
76,0.04279895744,76,0.04279895744
77,0.04275166939,77,0.04275166939
78,0.04270315877,78,0.04270315877
79,0.04265357544,79,0.04265357544
80,0.04260307365,80,0.04260307365
81,0.04255181169,81,0.04255181169
82,0.04249995145,82,0.04249995145
83,0.04244765804,83,0.04244765804
84,0.04239509934,84,0.04239509934
85,0.0423424456,85,0.0423424456
86,0.04228986898,86,0.04228986898
87,0.04223754314,87,0.04223754314
88,0.04218564281,88,0.04218564281
89,0.04213434331,89,0.04213434331
90,0.04208382016,90,0.04208382016
91,0.0420342486,91,0.0420342486
92,0.04198580316,92,0.04198580316
93,0.04193865723,93,0.04193865723
94,0.0418929826,94,0.0418929826
95,0.041848949,95,0.041848949
96,0.04180672369,96,0.04180672369
97,0.04176647098,97,0.04176647098
98,0.04172835181,98,0.04172835181
99,0.04169252325,99,0.04169252325
100,0.04165913808,100,0.04165913808
101,0.04162834432,101,0.04162834432
102,0.04160028472,102,0.04160028472
103,0.04157509635,103,0.04157509635
104,0.04155291004,104,0.04155291004
105,0.04153384994,105,0.04153384994
106,0.04151803294,106,0.04151803294
107,0.0415055682,107,0.0415055682
108,0.04149655659,108,0.04149655659
109,0.04149109008,109,0.04149109008
110,0.04148925123,110,0.04148925123
