round,total_inner,outer_iter,conv_iter,diverge_iter,c_final,maxD_final,time_ms,L,f,f_a,f_b,final_G_norm,final_d_norm
1,6111,50,-1,-1,2000,0.4945063495,1364.257555,432.4843431,403.6605595,386.4011036,558.9956628,0.07985871088,0.1433308116
2,7239,50,-1,-1,2000,0.4622372424,1561.831454,458.5262937,507.8102976,449.8211031,1029.713048,0.4993862923,2.870559646
3,167,15,15,-1,2000,0.4084557238,37.517089,393.3613101,389.9368108,231.6333681,1814.667795,0.09004530213,0.1372731804
