Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.3245460298,44,0.3245460298,11.83835464,-21.72051535,17.54338185,-0.0006218437924,4.177018368,0.0006392600407,11.97245199,-38.96431154,-6.9489476,-0.0002341983322,45.91325205,-5.493650331e-05,11.83835464,-21.72051535,17.54338185,-0.0006218437924,4.177018368,0.0006392600407,11.97245199,-38.96431154,-6.9489476,-0.0002341983322,45.91325205,-5.493650331e-05
q1,1,52,0.6732414099,57,0.4226774411,6.212515966,-21.68627868,17.31577496,-0.000603527818,4.370384548,0.0006156334984,6.283185129,-38.96426207,-6.948934581,-0.0002341983322,45.913213,-5.493650331e-05,9.684728641,-22.5271892,15.12468476,-0.03098876445,4.06196462,-0.01092111902,10.22824054,-33.74235678,-6.477000987,0.06503499667,45.83813967,-0.01158989091
peak,1,60,0.9784215115,73,0.4945063495,0.3679899661,-21.65071117,17.07932055,-0.000584499866,4.571267248,0.0005910885463,0.3727653599,-38.96421068,-6.948921057,-0.0002341983322,45.91317243,-5.493650331e-05,7.313177465,-23.62324057,12.21524589,-0.05184699569,3.884547463,-0.01444252384,8.763342809,-27.30048383,-5.798400605,0.1577156263,45.74696885,-0.01508533164
q3,1,70,0.6748613836,120,0.4675279743,-6.931637552,-21.60628847,16.7839965,-0.0005607345577,4.822163365,0.00056043268,-7.009161386,-38.96414649,-6.948904166,-0.0002341983322,45.91312175,-5.493650331e-05,-9.640733873,-23.97799968,12.58537563,0.009511718641,4.19445613,-0.01097401238,-7.105638919,-29.68295659,-6.404737908,0.04709535471,45.82544824,-0.01158989091
Tail,1,79,0.3272044573,146,0.3272044573,-13.18623579,-21.56822542,16.53095163,-0.0005403715385,5.037140693,0.0005341655688,-13.33427673,-38.9640915,-6.948889693,-0.0002341983322,45.91307833,-5.493650331e-05,-13.18623579,-21.56822542,16.53095163,-0.0005403715385,5.037140693,0.0005341655688,-13.33427673,-38.9640915,-6.948889693,-0.0002341983322,45.91307833,-5.493650331e-05
Head,2,42,0.2778378555,42,0.2778378555,13.18652449,-21.72871979,17.59792531,-0.0006262330125,4.130680308,0.0006449218795,13.3358217,-38.9643234,-6.948950719,-0.0002341983322,45.91326141,-5.493650331e-05,13.18652449,-21.72871979,17.59792531,-0.0006262330125,4.130680308,0.0006449218795,13.3358217,-38.9643234,-6.948950719,-0.0002341983322,45.91326141,-5.493650331e-05
q1,2,78,0.5564898192,73,0.4376809986,5.860105357,-23.93149758,11.58289828,-0.05007877328,3.84449075,-0.01436369173,7.663242248,-25.97592178,-5.687630737,0.1701224624,45.73260175,-0.01500101567,8.25651037,-16.86863339,16.97911691,-0.03429164784,4.271438662,-0.01547089575,11.02595978,-25.34318932,-6.023266548,0.101226738,45.84057408,-0.01613454544
peak,2,95,0.7052891283,130,0.4622372424,-0.9573500029,-24.71359212,10.50764967,-0.0258012187,3.788210942,-0.01515284575,1.959539167,-24.13906433,-5.715469233,0.149871462,45.73312634,-0.01577937511,-7.238185914,-14.70207434,16.92319617,0.00495845935,4.51012271,-0.02041887459,-12.16977742,-20.3044665,-4.984747903,-0.2090414675,45.80977582,-0.0210542133
q3,2,112,0.5510154765,152,0.4067786419,-7.655437563,-24.56435831,11.3864554,0.003103366804,3.976321628,-0.0137811982,-4.570050136,-26.76989189,-6.145845179,0.07985413251,45.78845698,-0.01440138412,-10.92311329,-18.99817421,15.9454114,-0.001020290519,4.680223969,-0.01544666207,-12.77727925,-29.12639385,-6.052874709,-0.09475255025,45.85406033,-0.01605633263
Tail,2,149,0.2829861877,175,0.2829861877,-15.15170823,-21.55626431,16.45143369,-0.0005339725738,5.104696114,0.0005259112763,-15.32190878,-38.96407421,-6.948885145,-0.0002341983322,45.91306469,-5.493650331e-05,-15.15170823,-21.55626431,16.45143369,-0.0005339725738,5.104696114,0.0005259112763,-15.32190878,-38.96407421,-6.948885145,-0.0002341983322,45.91306469,-5.493650331e-05
Head,3,46,0.3145481387,46,0.3145481387,12.02327462,-21.59069203,17.53215098,-0.001836895834,4.170697373,0.0001563233138,12.27925514,-38.57790868,-6.926598475,0.004355379011,45.91118995,-0.0005380087744,12.02327462,-21.59069203,17.53215098,-0.001836895834,4.170697373,0.0001563233138,12.27925514,-38.57790868,-6.926598475,0.004355379011,45.91118995,-0.0005380087744
q1,3,87,0.6997762677,92,0.4038814136,5.317421659,-14.53115436,17.039952,-0.03447988945,4.313553923,-0.0207965017,6.829050775,-19.67648339,-5.43082718,0.05205333925,45.81039045,-0.02145212707,8.072865921,-17.72457523,16.02988611,-0.0315611148,4.188017088,-0.0186453115,9.658465287,-17.35591454,-1.531445608,0.05624126198,45.59925717,-0.01931403411
peak,3,103,0.9961876772,132,0.4045688605,0.6214533802,-13.15151517,17.2628935,-0.01913767845,4.382251927,-0.02226811017,-1.086887596,-16.97889341,-4.926360431,-0.07405696796,45.79560821,-0.02291834456,1.257138796,-15.31023872,14.94699424,-0.02655753139,4.294320128,-0.02530158926,3.51147915,-1.491288235,4.676138535,0.07472931752,45.27124266,-0.02594863156
q3,3,119,0.710568957,169,0.4084557238,-4.326671132,-13.41818957,17.2626268,-0.001231438104,4.459433864,-0.02124783427,-8.835212559,-17.86277632,-4.781172394,-0.1868605067,45.79880387,-0.0218913921,-8.134614999,-16.31441595,15.39785993,0.001971962427,4.483877768,-0.02136791074,-6.698662815,-11.86693625,-1.438055524,-0.01442318142,45.60067155,-0.02199231512
Tail,3,163,0.3514741362,221,0.3514741362,-12.42657193,-20.78326461,16.20507219,-0.001519321231,4.896154623,-0.00597025517,-13.02518174,-35.38890607,-6.647246219,-0.03017275354,45.89101802,-0.006566275576,-12.42657193,-20.78326461,16.20507219,-0.001519321231,4.896154623,-0.00597025517,-13.02518174,-35.38890607,-6.647246219,-0.03017275354,45.89101802,-0.006566275576
