Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
nan,nan,189,0.1009093601
nan,nan,190,0.1008477106
nan,nan,191,0.1007967488
nan,nan,192,0.1007562478
nan,nan,193,0.100725984
nan,nan,194,0.1007057367
nan,nan,195,0.1006952881
nan,nan,196,0.100694423
nan,nan,197,0.1007029287
nan,nan,198,0.1007205946
nan,nan,199,0.1007472122
nan,nan,200,0.1007825752
nan,nan,201,0.1008264786
nan,nan,202,0.1008787192
nan,nan,203,0.1009390952
nan,nan,204,0.101007406
nan,nan,205,0.1010834522
nan,nan,206,0.1011670351
nan,nan,207,0.1012579571
nan,nan,208,0.1013560212
nan,nan,209,0.1014610307
nan,nan,210,0.1015727897
nan,nan,211,0.1016911023
nan,nan,212,0.1018157728
nan,nan,213,0.1019466056
nan,nan,214,0.1020834049
nan,nan,215,0.1022259748
nan,nan,216,0.1023741191
nan,nan,217,0.1025276412
nan,nan,218,0.1026863438
nan,nan,219,0.1028500293
nan,nan,220,0.1030184992
nan,nan,221,0.1031915543
nan,nan,222,0.1033689943
nan,nan,223,0.1035506183
nan,nan,224,0.1037362241
nan,nan,225,0.1039256085
nan,nan,226,0.1041185671
nan,nan,227,0.1043148942
nan,nan,228,0.1045143827
nan,nan,229,0.1047168245
nan,nan,230,0.1049220096
nan,nan,231,0.1051297268
nan,nan,232,0.1053397634
nan,nan,233,0.1055519049
nan,nan,234,0.1057659355
nan,nan,235,0.1059816374
nan,nan,236,0.1061987914
nan,nan,237,0.1064171766
nan,nan,238,0.1066365701
nan,nan,239,0.1068567476
nan,nan,240,0.1070774828
nan,nan,241,0.1072985478
nan,nan,242,0.1075197128
nan,nan,243,0.1077407463
nan,nan,244,0.107961415
nan,nan,245,0.1081814839
nan,nan,246,0.1084007162
nan,nan,247,0.1086188733
nan,nan,248,0.108835715
nan,nan,249,0.1090509995
nan,nan,250,0.1092644833
nan,nan,251,0.109475921
nan,nan,252,0.1096850661
nan,nan,253,0.1098916703
nan,nan,254,0.1100954839
nan,nan,255,0.1102962558
nan,nan,256,0.1104937334
nan,nan,257,0.1106876632
nan,nan,258,0.11087779
nan,nan,259,0.1110638577
nan,nan,260,0.1112456093
nan,nan,261,0.1114227866
nan,nan,262,0.1115951305
nan,nan,263,0.1117623814
nan,nan,264,0.1119242786
nan,nan,265,0.1120805613
nan,nan,266,0.1122309678
nan,nan,267,0.1123752363
nan,nan,268,0.1125131048
nan,nan,269,0.1126443112
nan,nan,270,0.1127685931
nan,nan,271,0.1128856889
nan,nan,272,0.1129953367
nan,nan,273,0.1130972754
nan,nan,274,0.1131912444
nan,nan,275,0.113276984
nan,nan,276,0.1133539205
nan,nan,277,0.1134227402
nan,nan,278,0.1134837233
nan,nan,279,0.1135371522
nan,nan,280,0.1135833114
nan,nan,281,0.113622487
nan,nan,282,0.1136549671
nan,nan,283,0.1136810412
nan,nan,284,0.1137010001
nan,nan,285,0.113715136
nan,nan,286,0.1137237421
nan,nan,287,0.1137271125
nan,nan,288,0.1137255422
nan,nan,289,0.1137193269
nan,nan,290,0.1137087629
nan,nan,291,0.1136941469
nan,nan,292,0.1136757762
nan,nan,293,0.1136539481
nan,nan,294,0.1136289603
nan,nan,295,0.1136011106
nan,nan,296,0.1135706967
nan,nan,297,0.1135380166
nan,nan,298,0.1135033678
nan,nan,299,0.1134670481
nan,nan,300,0.1134293547
nan,nan,301,0.113390585
nan,nan,302,0.1133510357
nan,nan,303,0.1133110037
nan,nan,304,0.1132707853
nan,nan,305,0.1132306765
nan,nan,306,0.1131909732
nan,nan,307,0.1131519707
nan,nan,308,0.1131139642
nan,nan,309,0.1130772487
nan,nan,310,0.1130421188
nan,nan,311,0.1130088688
nan,nan,312,0.112977793
nan,nan,313,0.1129491855
nan,nan,314,0.1129233402
nan,nan,315,0.112900551
nan,nan,316,0.1128811121
nan,nan,317,0.1128653173
nan,nan,318,0.1128534611
nan,nan,319,0.1128458378
nan,nan,320,0.1128427425
nan,nan,321,0.1128444705
nan,nan,322,0.1128513176
nan,nan,323,0.1128635806
nan,nan,324,0.1128815568
nan,nan,325,0.1129055445
nan,nan,326,0.1129358432
nan,nan,327,0.1129727536
nan,nan,328,0.1130165775
nan,nan,329,0.1130676185
nan,nan,330,0.1131261819
nan,nan,331,0.1131925746
nan,nan,332,0.1132671058
nan,nan,333,0.1133500868
nan,nan,334,0.1134418313
nan,nan,335,0.1135426558
nan,nan,336,0.1136528794
nan,nan,337,0.1137728243
nan,nan,338,0.1139028163
nan,nan,339,0.1140431842
nan,nan,340,0.1141942611
nan,nan,341,0.1143563837
nan,nan,342,0.1145298933
nan,nan,343,0.1147151354
nan,nan,344,0.1149124608
nan,nan,345,0.115122225
nan,nan,346,0.1153447891
nan,nan,347,0.11558052
nan,nan,348,0.1158297907
nan,nan,349,0.1160929802
nan,nan,350,0.1163704748
nan,nan,351,0.1166626674
nan,nan,352,0.1169699586
nan,nan,353,0.1172927567
nan,nan,354,0.1176314782
nan,nan,355,0.1179865484
nan,nan,356,0.1183584013
nan,nan,357,0.1187474805
nan,nan,358,0.1191542395
nan,nan,359,0.119579142
nan,nan,360,0.1200226625
nan,nan,361,0.1204852868
nan,nan,362,0.1209675124
nan,nan,363,0.1214698491
nan,nan,364,0.1219928195
nan,nan,365,0.1225369592
nan,nan,366,0.1231028181
nan,nan,367,0.1236909603
nan,nan,368,0.1243019647
nan,nan,369,0.1249364262
nan,nan,370,0.1255949555
nan,nan,371,0.1262781806
nan,nan,372,0.1269867467
nan,nan,373,0.1277213173
nan,nan,374,0.1284825746
nan,nan,375,0.1292712206
nan,nan,376,0.1300879774
nan,nan,377,0.1309335884
nan,nan,378,0.1318088186
nan,nan,379,0.1327144557
nan,nan,380,0.1336513108
nan,nan,381,0.1346192667
nan,nan,382,0.1356187382
nan,nan,383,0.1366492285
nan,nan,384,0.1377102303
nan,nan,385,0.1388012238
nan,nan,386,0.1399216756
nan,nan,387,0.1410710369
nan,nan,388,0.1422487422
nan,nan,389,0.1434542077
nan,nan,390,0.1446868301
nan,nan,391,0.1459459852
nan,nan,392,0.1472310262
nan,nan,393,0.1485412828
nan,nan,394,0.1521863822
