Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,43,0.2725676801,43,0.2725676801,-12.5158207,-15.0271406,9.745328035,-1.741218739e-06,5.399768627,5.087865181e-08,-12.65968457,-23.43618041,-6.999766285,-5.4852897e-05,29.69089509,-0.0003686451535,-12.5158207,-15.0271406,9.745328035,-1.741218739e-06,5.399768627,5.087865181e-08,-12.65968457,-23.43618041,-6.999766285,-5.4852897e-05,29.69089509,-0.0003686451535
q1,1,53,0.6558114507,76,0.3514069186,-5.489617954,-15.02714284,9.745330017,-1.741218739e-06,5.399764563,5.087865181e-08,-5.553833128,-23.43618367,-6.999766285,-5.08383826e-05,29.69089509,-0.0003621416448,-9.137940959,-7.432174339,6.320194695,-0.0003557223631,4.830476785,-0.01153490353,-7.598542505,-12.29346287,-1.81079299,-0.0467012392,30.0525383,-0.01189776631
peak,1,61,0.9272342654,121,0.3780275578,0.367717308,-15.0271447,9.745331669,-1.741218739e-06,5.399761174,5.087865181e-08,0.3699006006,-23.43618638,-6.999766285,-4.749171619e-05,29.69089509,-0.0003567200491,0.04654832289,4.99050485,4.515932106,-0.01516037986,4.259181574,-0.01503034426,-0.1044185357,0.498770538,3.795066333,-0.01215978818,30.62301577,-0.01538757486
q3,1,68,0.6559200852,166,0.3503973032,5.489368206,-15.02714633,9.745333114,-1.741218739e-06,5.399758211,5.087865181e-08,5.549610283,-23.43618875,-6.999766285,-4.456539282e-05,29.69089509,-0.0003519794087,9.094657519,-7.585503911,6.157756415,-0.02270805402,4.82669463,-0.01153490356,7.293523988,-12.18040319,-1.738008053,0.02876778665,30.04676618,-0.01188663989
Tail,1,77,0.2645940217,198,0.2645940217,11.83797487,-15.02714834,9.745334905,-1.741218739e-06,5.399754539,5.087865181e-08,11.97018444,-23.43619169,-6.999766285,-4.093803196e-05,29.69089509,-0.0003461030883,11.83797487,-15.02714834,9.745334905,-1.741218739e-06,5.399754539,5.087865181e-08,11.97018444,-23.43619169,-6.999766285,-4.093803196e-05,29.69089509,-0.0003461030883
Head,2,65,0.3526641869,65,0.3526641869,-9.527491256,-11.22230583,7.767702208,0.0002750245141,5.089921794,-0.006821976923,-8.59012707,-17.47944461,-4.201637364,-0.02921928384,29.87352252,-0.007186187285,-9.527491256,-11.22230583,7.767702208,0.0002750245141,5.089921794,-0.006821976923,-8.59012707,-17.47944461,-4.201637364,-0.02921928384,29.87352252,-0.007186187285
q1,2,82,0.4012599168,80,0.3478684407,-8.592206365,-5.122430876,5.711895624,-0.001233267444,4.698160358,-0.01331491064,-6.918959869,-9.524951979,-0.5615750469,-0.0512269905,30.16010952,-0.01367705207,-7.40044007,-11.10892654,4.199001224,-0.009209242499,4.900603579,-0.01964462457,-5.375329154,-13.09800917,-1.859488405,-0.05506120275,29.86665124,-0.02000546452
peak,2,94,0.4565313829,95,0.3697856136,-6.682286872,-0.5922568259,4.949265667,-0.00413633455,4.479304728,-0.01507701944,-5.175139504,-4.710884483,1.561955004,-0.0490473504,30.36870301,-0.0154376821,-3.035859914,-11.11168417,1.674033138,-0.009586302033,4.783518329,-0.0228661864,-0.8639137496,-10.67950029,-0.5642558295,-0.04820564034,29.83243834,-0.02322326549
q3,2,111,0.403507248,119,0.3550757818,-2.676024287,4.101435396,4.566172838,-0.01046705961,4.29163489,-0.01520070204,-2.09191,-0.30485989,3.453449379,-0.02861649517,30.58258945,-0.01555921332,5.563448182,-12.63157205,3.841399956,-0.01193796007,4.974519478,-0.01692449831,5.584762817,-13.81098282,-2.068016428,-0.01028442988,29.80695238,-0.01727674147
Tail,2,199,0.2630022074,152,0.2630022074,12.51557095,-15.02714856,9.745335096,-1.741218739e-06,5.399754147,5.087865181e-08,12.65546172,-23.436192,-6.999766285,-4.055087843e-05,29.69089509,-0.0003454759,12.51557095,-15.02714856,9.745335096,-1.741218739e-06,5.399754147,5.087865181e-08,12.65546172,-23.436192,-6.999766285,-4.055087843e-05,29.69089509,-0.0003454759
