Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,47,0.3390385074,47,0.3390385074,10.17778824,-13.92176026,5.705931525,0.0026364499,8.215611041,0.001048480018,9.87473158,-25.67929371,-13.2094854,-0.003198437313,38.88602116,-0.0008499300959,10.17778824,-13.92176026,5.705931525,0.0026364499,8.215611041,0.001048480018,9.87473158,-25.67929371,-13.2094854,-0.003198437313,38.88602116,-0.0008499300959
q1,1,53,0.6560735772,66,0.3999415546,5.855678813,-13.92176233,5.705932462,0.002635017112,8.215611773,0.001049496008,5.550020209,-25.49458412,-13.07389342,-0.003194203097,38.56571632,-0.0008437023725,7.498834592,-14.29979449,1.032613071,-0.006469043539,8.358567446,-0.01048530343,6.153109161,-20.03013873,-10.55158395,0.02511475602,38.24134629,-0.01237770688
peak,1,61,0.960628671,90,0.4003822086,-0.06256343128,-13.92176515,5.705933746,0.002633055203,8.215612777,0.001050887198,-0.3717848663,-25.24166223,-12.88822802,-0.003188405207,38.12712455,-0.0008351747829,-0.02621154271,-13.09345016,-2.469265634,-0.008341452722,8.516744325,-0.01397952672,-0.04619592057,-15.26514168,-8.202359822,-0.01395043038,37.6344487,-0.01586568502
q3,1,68,0.6821848264,113,0.4000322658,-5.237471363,-13.92176762,5.705934868,0.002631339711,8.215613654,0.001052103654,-5.549808136,-25.02050745,-12.72588228,-0.003183335535,37.74362013,-0.000827718263,-7.16697931,-14.34012716,1.055485623,-0.006635446055,8.347996,-0.01048287417,-6.314899812,-19.68763228,-10.2549099,-0.0440079878,37.48030263,-0.01236281623
Tail,1,75,0.3316899126,132,0.3316899126,-10.26310994,-13.92177002,5.705935958,0.002629673702,8.215614506,0.001053285021,-10.57847219,-24.80573186,-12.56821939,-0.003178412097,37.37117783,-0.0008204768252,-10.26310994,-13.92177002,5.705935958,0.002629673702,8.215614506,0.001053285021,-10.57847219,-24.80573186,-12.56821939,-0.003178412097,37.37117783,-0.0008204768252
