Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
28,5.833175936e-05,10.16315922,-8.76294675,-0.0007581424733,-1.400157275,0.0007918814995,0.0005113092885,11.23472579,-9.416643811,-0.0007943776166,-1.818009726,0.0008479066548
29,5.867433979e-05,10.66245395,-9.193460162,-0.0007969689408,-1.468942774,0.0008280839962,0.0004790811816,11.78664299,-9.879296537,-0.0008402226557,-1.907279673,0.0008895629941
30,5.901164223e-05,11.15405627,-9.617340843,-0.0008351972259,-1.536668525,0.0008637287368,0.000447349599,12.33005705,-10.33482138,-0.0008853613804,-1.995174277,0.0009305775524
31,5.93424938e-05,11.63625675,-10.03311485,-0.0008726943991,-1.603099028,0.0008986917757,0.0004162248795,12.86307837,-10.78163435,-0.0009296368318,-2.081387907,0.0009708077117
32,5.966572161e-05,12.10734596,-10.43930825,-0.0009093275312,-1.667998784,0.000932849167,0.0003858173618,13.38381737,-11.21815149,-0.0009728920513,-2.165614929,0.001010110854
33,5.998015277e-05,12.56561448,-10.83444709,-0.0009449636927,-1.731132293,0.000966076965,0.0003562373846,13.89038446,-11.64278881,-0.00101497008,-2.247549714,0.001048344361
34,6.028461441e-05,13.00935288,-11.21705744,-0.000979469954,-1.792264056,0.0009982512238,0.0003275952867,14.38089005,-12.05396235,-0.001055713959,-2.326886628,0.001085365616
35,6.057793363e-05,13.43685174,-11.58566536,-0.001012713386,-1.851158573,0.001029247998,0.0003000014069,14.85344455,-12.45008812,-0.00109496673,-2.403320041,0.001121031999
36,6.085893754e-05,13.84640162,-11.9387969,-0.001044561059,-1.907580345,0.001058943341,0.0002735660838,15.30615838,-12.82958215,-0.001132571434,-2.47654432,0.001155200894
37,6.112645327e-05,14.23629312,-12.27497813,-0.001074880044,-1.961293872,0.001087213308,0.0002483996562,15.73714194,-13.19086047,-0.001168371112,-2.546253833,0.001187729682
38,6.137930793e-05,14.60481679,-12.59273511,-0.001103537411,-2.012063653,0.001113933952,0.0002246124629,16.14450565,-13.53233911,-0.001202208806,-2.61214295,0.001218475744
39,6.161632862e-05,14.95026322,-12.89059389,-0.001130400231,-2.059654191,0.001138981329,0.0002023148425,16.52635993,-13.85243407,-0.001233927556,-2.673906037,0.001247296464
40,6.183634247e-05,15.27092297,-13.16708053,-0.001155335574,-2.103829985,0.001162231491,0.0001816171339,16.88081517,-14.1495614,-0.001263370404,-2.731237464,0.001274049223
41,6.203817659e-05,15.56508663,-13.4207211,-0.001178210511,-2.144355536,0.001183560494,0.0001626296758,17.2059818,-14.42213712,-0.001290380392,-2.783831598,0.001298591403
42,6.222065809e-05,15.83104477,-13.65004166,-0.001198892113,-2.180995344,0.001202844392,0.0001454628068,17.49997022,-14.66857724,-0.00131480056,-2.831382808,0.001320780386
43,6.238261408e-05,16.06708796,-13.85356825,-0.00121724745,-2.213513909,0.001219959239,0.0001302268658,17.76089085,-14.8872978,-0.001336473949,-2.873585462,0.001340473554
44,6.252287169e-05,16.27150677,-14.02982696,-0.001233143593,-2.241675732,0.001234781088,0.0001170321915,17.9868541,-15.07671483,-0.001355243601,-2.910133928,0.001357528289
45,6.264025802e-05,16.44259178,-14.17734382,-0.001246447612,-2.265245314,0.001247185995,0.0001059891227,18.17597038,-15.23524433,-0.001370952557,-2.940722575,0.001371801973
46,6.273360019e-05,16.57863357,-14.29464491,-0.001257026579,-2.283987155,0.001257050013,9.720799796e-05,18.3263501,-15.36130235,-0.001383443859,-2.96504577,0.001383151989
47,6.280172532e-05,16.67792271,-14.38025627,-0.001264747562,-2.297665755,0.001264249197,9.079915615e-05,18.43610368,-15.4533049,-0.001392560547,-2.982797882,0.001391435717
48,6.284346051e-05,16.73874977,-14.43270399,-0.001269477634,-2.306045614,0.001268659601,8.687293599e-05,18.50334152,-15.50966802,-0.001398145663,-2.99367328,0.001396510541
49,6.285763288e-05,16.75940533,-14.4505141,-0.001271083864,-2.308891234,0.00127015728,8.553967622e-05,18.52617405,-15.52880772,-0.001400042248,-2.99736633,0.001398233842
