Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2645930973,44,0.2645930973,11.83836549,-15.02705403,9.745244525,-1.741218739e-06,5.399593195,3.847413772e-05,11.97065129,-23.43606261,-6.999604941,-4.093803196e-05,29.69089509,-0.0005658296508,11.83836549,-15.02705403,9.745244525,-1.741218739e-06,5.399593195,3.847413772e-05,11.97065129,-23.43606261,-6.999604941,-4.093803196e-05,29.69089509,-0.0005658296508
q1,1,53,0.6559267559,58,0.3494001968,5.489634404,-15.02705201,9.745246315,-1.741218739e-06,5.39960054,3.25978173e-05,5.548666818,-23.43606261,-6.999608614,-4.456539282e-05,29.69089509,-0.0005717059712,9.527119967,-15.07048103,7.271049684,-0.01553748289,5.465995046,-0.01150206269,7.47041929,-19.96471809,-5.381700609,0.02879985091,29.53227835,-0.01210636648
peak,1,60,0.927236297,73,0.3555614595,0.3678831267,-15.02705039,9.74524776,-1.741218739e-06,5.399606466,2.785717681e-05,0.3678193819,-23.43606261,-6.999611577,-4.749171619e-05,29.69089509,-0.0005764466116,7.480880127,-14.84241985,4.373599306,-0.0244422948,5.563112736,-0.01500299766,3.067224991,-15.73341229,-3.40816115,0.06530024695,29.3511058,-0.01560730146
q3,1,68,0.6557326973,113,0.3511726558,-5.489566934,-15.02704852,9.745249412,-1.741218739e-06,5.399613243,2.243558107e-05,-5.557215529,-23.43606261,-6.999614966,-5.08383826e-05,29.69089509,-0.0005818682073,-9.176333911,-14.04571419,5.898255242,0.01481837151,5.373996932,-0.0115131891,-6.419991646,-18.51409462,-4.931869635,-0.01178935968,29.48740069,-0.01211749288
Tail,1,78,0.2725458782,133,0.2725458782,-12.51590739,-15.02704629,9.745251394,-1.741218739e-06,5.399621373,1.593207235e-05,-12.66462781,-23.43606261,-6.99961903,-5.4852897e-05,29.69089509,-0.000588371716,-12.51590739,-15.02704629,9.745251394,-1.741218739e-06,5.399621373,1.593207235e-05,-12.66462781,-23.43606261,-6.99961903,-5.4852897e-05,29.69089509,-0.000588371716
Head,2,67,0.3461037278,67,0.3461037278,8.650745627,-14.98660021,5.340293072,-0.02391518833,5.534769393,-0.01491778972,4.741763708,-17.13775718,-4.053427937,0.05536871146,29.4093049,-0.01552209351,8.650745627,-14.98660021,5.340293072,-0.02391518833,5.534769393,-0.01491778972,4.741763708,-17.13775718,-4.053427937,0.05536871146,29.4093049,-0.01552209351
q1,2,81,0.4103932514,82,0.3519364179,4.703514298,-14.54754511,3.525257948,-0.01846299006,5.558031,-0.01548788922,1.078554585,-14.62790825,-2.948012904,0.06185968908,29.30814637,-0.01609219301,5.032721522,-12.35789406,1.320756352,-0.03106379766,5.190062313,-0.02588299496,1.969091869,-13.87992577,-2.933875361,0.03781314089,29.30271841,-0.02648729875
peak,2,92,0.4670803282,102,0.3584001819,-0.5273300464,-14.10479541,3.242404432,-0.00330139465,5.495645333,-0.01639712049,-1.394051414,-14.5157133,-3.009510013,0.0360380976,29.31034816,-0.01700142428,-4.046721634,-11.17441586,-0.3808383051,0.002741673515,4.925504195,-0.02846673193,-1.60886269,-13.35407239,-2.906464551,0.00433380471,29.30311002,-0.02907103572
q3,2,104,0.4116861231,116,0.3499750507,-6.22762136,-13.86095387,4.213633542,0.01185495215,5.410316601,-0.01535397878,-4.110891772,-16.15251561,-3.857389088,0.002069756968,29.385974,-0.01595828257,-7.746724486,-12.62090379,3.090543293,0.008389806062,5.151955687,-0.02317135232,-4.675359887,-16.27567386,-4.086606986,-0.01125364205,29.40549093,-0.02377565611
Tail,2,117,0.3382724941,130,0.3382724941,-9.884300619,-14.26104573,6.898313906,0.01250182057,5.372878609,-0.008721184787,-7.566484301,-19.82741288,-5.49706022,-0.01184315283,29.54230806,-0.009325488576,-9.884300619,-14.26104573,6.898313906,0.01250182057,5.372878609,-0.008721184787,-7.566484301,-19.82741288,-5.49706022,-0.01184315283,29.54230806,-0.009325488576
