round,iter,L,f,f_a,f_b,penalty,maxD,G_norm,d_norm,alpha,r_stat,r_prim,r_comp,r_dual,lam_neg,kkt,lam_max,lam_min,S_max,S_min
1,24,-5615.238591,448.8230537,687.4121842,210.2339231,-6064.061644,0.5179391191,25.32687291,25.32687291,0.04804396083,18.80523041,8.729290744,13.9841963,0,0,25.00789783,30.45523091,29.44746539,0.02103702566,0.006657285971
1,25,-5629.508344,452.4283674,695.7922497,209.064485,-6081.936711,0.4926430439,34.19964831,34.19964831,0.02438562517,17.64042072,8.743063865,6.76405997,0,0,20.81773561,30.46497437,29.44654482,-0.002916346722,-0.01021010353
1,26,-5642.800943,459.1557804,711.5111401,206.8004207,-6101.956723,0.4470270376,23.50429731,23.50429731,0.04804288127,17.11726605,8.750894072,13.02052506,0,0,23.2188074,30.48418651,29.44575859,0.01967742502,0.005346633406
1,27,-5655.209265,461.943183,718.2770371,205.609329,-6117.152448,0.4275209576,31.86547464,31.86547464,0.0244263354,16.14602229,8.763741299,6.349184934,0,0,19.43731841,30.49394759,29.44628615,-0.002356457084,-0.009626863948
1,28,-5666.898918,467.1333112,730.9712682,203.2953542,-6134.032229,0.3925610502,22.02852424,22.02852424,0.04811444388,15.72272627,8.771808801,12.26783983,0,0,21.78643259,30.51318891,29.44809622,0.01862219272,0.004327692852
1,29,-5677.936021,469.2673237,736.4486499,202.0859975,-6147.203344,0.3775835053,30.03806691,30.03806691,0.024451969,14.94460631,8.783557395,6.019245727,0,0,18.35002608,30.52296121,29.44971116,-0.001904738245,-0.00916612442
1,30,-5688.427267,473.2843237,746.8263826,199.7422648,-6161.711591,0.3506411731,20.8613632,20.8613632,0.04815628805,14.59864096,8.791146841,11.66303004,0,0,20.65020218,30.54221968,29.45347272,0.01777994424,0.003497818547
1,31,-5698.411932,474.9519061,751.3718051,198.5320072,-6173.363838,0.3389464035,28.56617123,28.56617123,0.02445930184,13.95122923,8.801826328,5.744774979,0,0,17.4674378,30.55199567,29.45591052,-0.001541918021,-0.00878476357
1,32,-5707.954137,478.1484874,760.097318,196.1996567,-6186.102625,0.3177479178,19.89659889,19.89659889,0.04815490299,13.65257273,8.80870716,11.14727347,0,0,19.70400391,30.57125392,29.46115754,0.01706402352,0.002832338462
1,33,-5717.076951,479.5028193,763.9945294,195.0111092,-6196.579771,0.3083852577,27.30866463,27.30866463,0.02445410952,13.08139973,8.818407777,5.503500916,0,0,16.7085564,30.58102844,29.46423211,-0.001248757483,-0.00844985843
