round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,29,-21.31260486,-9.999979964,3.999993339,-1.489107007e-06,5.999978744,4.35119122e-08,-21.31256708,-38.99998433,11.99998443,2.703128566e-06,26.99997065,-4.158611437e-09
1,30,-20.76410525,-9.999980179,3.99999341,-1.473189385e-06,5.999978972,4.30467971e-08,-20.76406786,-38.9999845,11.9999846,2.674233815e-06,26.99997096,-4.114158485e-09
1,31,-20.20320978,-9.999980398,3.999993483,-1.456912032e-06,5.999979204,4.257117061e-08,-20.20317281,-38.99998467,11.99998477,2.644686054e-06,26.99997128,-4.068700915e-09
1,32,-19.63032487,-9.999980621,3.999993557,-1.440286743e-06,5.999979441,4.208537735e-08,-19.63028832,-38.99998484,11.99998494,2.614506694e-06,26.99997161,-4.022271666e-09
1,33,-19.04585696,-9.99998085,3.999993633,-1.42332531e-06,5.999979683,4.158976196e-08,-19.04582084,-38.99998502,11.99998512,2.583717146e-06,26.99997195,-3.974903676e-09
1,34,-18.45021245,-9.999981082,3.99999371,-1.40603953e-06,5.99997993,4.108466908e-08,-18.45017677,-38.99998521,11.9999853,2.55233882e-06,26.99997229,-3.926629883e-09
1,35,-17.84379778,-9.999981319,3.999993789,-1.388441197e-06,5.999980181,4.057044334e-08,-17.84376254,-38.99998539,11.99998549,2.520393124e-06,26.99997263,-3.877483226e-09
1,36,-17.22701936,-9.99998156,3.999993869,-1.370542104e-06,5.999980437,4.004742938e-08,-17.22698458,-38.99998558,11.99998567,2.487901471e-06,26.99997299,-3.827496643e-09
1,37,-16.60028361,-9.999981804,3.99999395,-1.352354047e-06,5.999980697,3.951597184e-08,-16.60024929,-38.99998577,11.99998586,2.45488527e-06,26.99997335,-3.776703072e-09
1,38,-15.96399696,-9.999982053,3.999994033,-1.33388882e-06,5.99998096,3.897641535e-08,-15.96396311,-38.99998596,11.99998606,2.42136593e-06,26.99997371,-3.725135451e-09
1,39,-15.31856583,-9.999982305,3.999994117,-1.315158217e-06,5.999981227,3.842910455e-08,-15.31853245,-38.99998616,11.99998625,2.387364863e-06,26.99997408,-3.672826719e-09
1,40,-14.66439663,-9.99998256,3.999994202,-1.296174033e-06,5.999981498,3.787438408e-08,-14.66436374,-38.99998636,11.99998645,2.352903478e-06,26.99997445,-3.619809814e-09
1,41,-14.0018958,-9.999982819,3.999994288,-1.276948062e-06,5.999981773,3.731259856e-08,-14.00186339,-38.99998656,11.99998665,2.318003185e-06,26.99997483,-3.566117674e-09
1,42,-13.33146975,-9.999983081,3.999994375,-1.257492099e-06,5.999982051,3.674409265e-08,-13.33143783,-38.99998677,11.99998685,2.282685395e-06,26.99997521,-3.511783238e-09
1,43,-12.6535249,-9.999983345,3.999994463,-1.237817939e-06,5.999982331,3.616921096e-08,-12.65349348,-38.99998698,11.99998706,2.246971517e-06,26.9999756,-3.456839444e-09
1,44,-11.96846767,-9.999983613,3.999994552,-1.217937375e-06,5.999982615,3.558829814e-08,-11.96843676,-38.99998718,11.99998727,2.210882962e-06,26.99997599,-3.40131923e-09
1,45,-11.66324025,-9.965277959,4.010638257,6.649517315e-05,6.000325231,-3.22571548e-05,-11.65101326,-38.99339854,11.99861624,3.763621437e-05,26.99991371,-3.229583868e-05
1,46,-11.41103982,-9.864014607,4.041750872,0.0002623959678,6.001330508,-0.0001262875028,-11.36342173,-38.97424335,11.99457771,0.0001398484659,26.9997301,-0.0001263258881
1,47,-11.20813886,-9.700474361,4.09210477,0.0005756556309,6.002965007,-0.000277784481,-11.10373111,-38.94343809,11.98798384,0.0003026993991,26.99943058,-0.0002778225745
1,48,-11.05080986,-9.478938026,4.160472329,0.000995445347,6.005195284,-0.0004824771145,-10.87001037,-38.90189919,11.97894675,0.0005200407757,26.99902057,-0.000482514923
1,49,-10.93532531,-9.203686406,4.245625925,0.0015109363,6.0079879,-0.0007360944284,-10.66032843,-38.85054311,11.96757861,0.0007857243573,26.9985055,-0.0007361319586
