Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.3985927687,0,0.3985927687
1,0.3988352641,1,0.3973467765
2,0.3995503071,2,0.3938533152
3,0.4007108719,3,0.3883285127
4,0.4022791142,4,0.3810081282
5,0.4042066344,5,0.3723445209
6,0.4064346099,6,0.3631020183
7,0.4088938571,7,0.3552820632
8,0.411504888,8,0.353101061
9,0.41417803,9,0.3519415616
10,0.4168136824,10,0.3517581183
11,0.4193027809,11,0.3524134145
12,0.4215275436,12,0.3536989959
13,0.4233625667,13,0.3553492535
14,0.4246763309,14,0.3570505853
15,0.4253331653,15,0.3584472672
16,0.425195699,16,0.3592104039
17,0.4241278062,17,0.3593746857
18,0.4219980207,18,0.3589996546
19,0.4186833606,19,0.3581508725
20,0.4176705033,20,0.3568992988
21,0.4169425667,21,0.3553205158
22,0.4151054473,22,0.3534938364
23,0.4120614408,23,0.3515013308
24,0.4077270578,24,0.3494268139
25,0.4020363505,25,0.3473548252
26,0.3949440546,26,0.3453466787
27,0.3864283861,27,0.3432511546
28,0.3764933264,28,0.3409085049
29,0.3651702351,29,0.3381743009
30,0.3525186488,30,0.3349207253
31,0.3386261545,31,0.3310373889
32,0.3236072638,32,0.3264315382
33,0.3076012676,33,0.3210275808
34,0.2907691044,34,0.3147659307
35,0.2732893355,35,0.3076012676
36,0.2553533763,36,0.2907691044
37,0.2371601817,37,0.2732893355
38,0.2189106248,38,0.2553533763
39,0.2008018275,39,0.2371601817
40,0.1900437984,40,0.2189106248
41,0.1909657657,41,0.2008018275
42,0.1918027739,42,0.1900437984
43,0.1925503622,43,0.1909657657
44,0.1932044452,44,0.1918027739
45,0.1937613466,45,0.1925503622
46,0.1942178307,46,0.1932044452
47,0.1945711312,47,0.1937613466
48,0.1948189773,48,0.1942178307
49,0.1949596153,49,0.1945711312
50,0.1949918271,50,0.1948189773
51,0.1949149441,51,0.1949596153
52,0.194728857,52,0.1949918271
53,0.1944340205,53,0.1949149441
54,0.1940314539,54,0.194728857
55,0.1935227364,55,0.1944340205
56,0.1929099984,56,0.1940314539
57,0.1921959072,57,0.1935227364
58,0.1913836496,58,0.1929099984
59,0.1904769089,59,0.1921959072
60,0.1894798397,60,0.1913836496
61,0.1883970373,61,0.1904769089
62,0.187233506,62,0.1894798397
63,0.1859946233,63,0.1883970373
64,0.1846861026,64,0.187233506
65,0.1833139546,65,0.1859946233
66,0.1818844464,66,0.1846861026
67,0.1804040615,67,0.1833139546
68,0.1788794588,68,0.1818844464
69,0.1773174318,69,0.1804040615
70,0.1757248697,70,0.1788794588
71,0.1741087185,71,0.1773174318
72,0.1725069287,72,0.1757248697
73,0.171374415,73,0.1741087185
74,0.1702233324,74,0.1725069287
75,0.1690596492,75,0.171374415
76,0.1678893295,76,0.1702233324
77,0.1667183073,77,0.1690596492
78,0.1655524619,78,0.1678893295
79,0.1643975962,79,0.1667183073
80,0.1632594158,80,0.1655524619
81,0.1621435116,81,0.1643975962
82,0.1610553432,82,0.1632594158
83,0.160000225,83,0.1621435116
84,0.1589833145,84,0.1610553432
85,0.1580096016,85,0.160000225
86,0.1570839001,86,0.1589833145
87,0.1562108406,87,0.1580096016
88,0.1553948646,88,0.1570839001
89,0.1546402192,89,0.1562108406
90,0.1539509532,90,0.1553948646
91,0.1533309127,91,0.1546402192
92,0.1527837378,92,0.1539509532
93,0.1523128581,93,0.1533309127
94,0.1519214879,94,0.1527837378
95,0.1516126205,95,0.1523128581
96,0.1513890207,96,0.1519214879
97,0.151253216,97,0.1516126205
98,0.1512074848,98,0.1513890207
nan,nan,99,0.151253216
nan,nan,100,0.1512074848
