Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2645930985,44,0.2645930985,11.83838606,-15.02699178,9.745177564,-1.741218739e-06,5.399490198,3.847413772e-05,11.96934679,-23.43595275,-6.999467612,-6.465610994e-05,29.69089509,-0.0007141161908,11.83838606,-15.02699178,9.745177564,-1.741218739e-06,5.399490198,3.847413772e-05,11.96934679,-23.43595275,-6.999467612,-6.465610994e-05,29.69089509,-0.0007141161908
q1,1,53,0.6559580294,76,0.3503958634,5.489894394,-15.02698774,9.745179354,-1.741218739e-06,5.399497544,3.25978173e-05,5.546690216,-23.43595275,-6.999471285,-6.465610994e-05,29.69089509,-0.0007141161908,9.096047962,-7.585382781,6.15764094,-0.02271153651,4.82642092,-0.0115020627,7.290121156,-12.18023523,-1.73777902,0.02877047617,30.04676465,-0.01224907061
peak,1,60,0.9272381988,121,0.3780272109,0.3683362707,-15.02698448,9.745180799,-1.741218739e-06,5.399503469,2.785717681e-05,0.3653005695,-23.43595275,-6.999474248,-6.465610994e-05,29.69089509,-0.0007141161908,0.0494068158,4.990516896,4.515853953,-0.01517339284,4.258876305,-0.01500299769,-0.1104089769,0.4986388174,3.795231627,-0.0121206112,30.62301715,-0.01574451134
q3,1,68,0.6556876668,166,0.3514145985,-5.48889289,-15.02698076,9.745182451,-1.741218739e-06,5.399510246,2.243558107e-05,-5.560354437,-23.43595275,-6.999477637,-6.465610994e-05,29.69089509,-0.0007141161908,-9.135419833,-7.431604054,6.320593809,-0.0003596280558,4.830200865,-0.01151318914,-7.605493273,-12.29390025,-1.81077299,-0.04668067284,30.05256087,-0.0122490706
Tail,1,78,0.2725621638,199,0.2725621638,-12.51496836,-15.02697629,9.745184433,-1.741218739e-06,5.399518376,1.593207235e-05,-12.66851056,-23.43595275,-6.999481701,-6.465610994e-05,29.69089509,-0.0007141161908,-12.51496836,-15.02697629,9.745184433,-1.741218739e-06,5.399518376,1.593207235e-05,-12.66851056,-23.43595275,-6.999481701,-6.465610994e-05,29.69089509,-0.0007141161908
Head,2,43,0.2630011467,43,0.2630011467,12.51596987,-15.02699221,9.745177372,-1.741218739e-06,5.399489414,3.910132601e-05,12.65484633,-23.43595275,-6.99946722,-6.465610994e-05,29.69089509,-0.0007141161908,12.51596987,-15.02699221,9.745177372,-1.741218739e-06,5.399489414,3.910132601e-05,12.65484633,-23.43595275,-6.99946722,-6.465610994e-05,29.69089509,-0.0007141161908
q1,2,131,0.4035108821,76,0.3550725809,-2.672999242,4.10161811,4.566239508,-0.0104794032,4.291329536,-0.01517463429,-2.098229499,-0.3051111951,3.453570294,-0.02857558666,30.58259889,-0.01591486723,5.564109049,-12.63184925,3.841203113,-0.01193649242,4.974275434,-0.01689216118,5.581383469,-13.8107114,-2.067623266,-0.01028745521,29.80694146,-0.01763866231
peak,2,148,0.45655789,100,0.3697888938,-6.679219976,-0.5917894538,4.949617333,-0.004145021464,4.479010915,-0.01505308036,-5.181792636,-4.711371093,1.561969314,-0.04901093247,30.36872391,-0.0157911619,-3.034274979,-11.11115226,1.673932311,-0.009590647271,4.783252226,-0.02283868177,-0.8690811436,-10.67933954,-0.5639309381,-0.04820137986,29.83243494,-0.02358034695
q3,2,160,0.401283725,115,0.3478675084,-8.589416809,-5.121858146,5.712330639,-0.00123868318,4.697878589,-0.0132924556,-6.925799055,-9.525465082,-0.5615823767,-0.0511998063,30.16013328,-0.01402905839,-7.398546622,-11.10823729,4.199240643,-0.009212601025,4.900336346,-0.01962088279,-5.381613359,-13.09818475,-1.859354448,-0.05505272974,29.86666351,-0.02035878711
Tail,2,177,0.3526073188,130,0.3526073188,-9.525652339,-11.22188186,7.767911249,0.0002732698594,5.089657793,-0.006801611959,-8.597383301,-17.47964426,-4.201525003,-0.02921285293,29.8735365,-0.007536145896,-9.525652339,-11.22188186,7.767911249,0.0002732698594,5.089657793,-0.006801611959,-8.597383301,-17.47964426,-4.201525003,-0.02921285293,29.8735365,-0.007536145896
