Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,175,0.3136828451,175,0.3136828451,11.16915295,-12.3052952,13.55107919,-86.90743982,-11.2039034,31.53070007,17.20045833,-32.83447578,13.63416573,30.16317715,32.24802606,-25.97174242,11.16915295,-12.3052952,13.55107919,-86.90743982,-11.2039034,31.53070007,17.20045833,-32.83447578,13.63416573,30.16317715,32.24802606,-25.97174242
q1,1,279,0.6579834493,322,0.4005028841,5.414605184,-12.18681325,13.40908445,-88.60706919,-5.431515033,-35.39807327,7.218576771,-32.73322487,17.36736919,4.040933628,31.10267092,-0.9131007594,8.848835282,-11.82675863,10.59409333,-88.52848893,-5.606539512,-31.76221945,8.766357248,-29.34257279,18.25493542,5.46067258,31.06412398,-2.290245804
peak,1,349,0.9180147002,466,0.4028628506,1.00602195,-12.09604373,13.30030169,-89.9091624,-1.009264041,-86.67248783,-0.428584651,-32.65565612,20.22739206,-15.97142693,30.22520954,18.28442994,7.205749205,-11.16602972,6.949225672,-90.11772921,-0.0818693505,-93.95288283,0.7141374826,-24.91024368,23.13192692,-18.80427991,29.88094747,20.9896073
q3,1,426,0.6599607865,618,0.4031598413,-3.855977548,-11.9959387,13.18033078,-91.34517396,3.867808924,-143.2204001,-8.862245312,-32.57010955,23.38156404,-38.04202916,29.25750256,39.45639828,-7.300216428,-8.506753557,9.964030951,-91.75957427,4.834804102,-158.3161647,-11.10314384,-27.45804993,25.38446624,-43.93322501,28.89840058,45.09251361
Tail,1,562,0.3382698907,778,0.3382698907,-11.0762726,-11.84727808,13.00216841,-93.47771783,11.11048878,-227.196676,-21.38662307,-32.44306891,28.06565592,-70.81789848,27.82041274,70.89775453,-11.0762726,-11.84727808,13.00216841,-93.47771783,11.11048878,-227.196676,-21.38662307,-32.44306891,28.06565592,-70.81789848,27.82041274,70.89775453
Head,2,450,0.3789878943,450,0.3789878943,8.042745222,-11.40774019,7.071767424,-89.95230573,-0.6096340418,-87.49319493,1.718233073,-25.14251038,22.73274198,-16.2833226,29.99426416,18.57103468,8.042745222,-11.40774019,7.071767424,-89.95230573,-0.6096340418,-87.49319493,1.718233073,-25.14251038,22.73274198,-16.2833226,29.99426416,18.57103468
q1,2,501,0.4869162656,497,0.4013034011,4.405830845,-10.40452139,7.085486315,-90.47808008,0.9985475252,-107.9948727,-1.719318576,-24.78263337,23.82892977,-24.28557846,29.64922204,26.24710426,4.860253893,-9.225713288,5.051470278,-90.46888064,1.009862177,-106.959056,-1.728219118,-22.67906534,24.30448349,-23.90507173,29.63579969,25.84436375
peak,2,543,0.5739500271,544,0.4047493738,-0.004389976421,-9.357198746,7.829298571,-90.91658837,2.253727611,-125.0947745,-4.96170754,-25.25632353,24.43961002,-30.96208817,29.38728997,32.64997665,-1.118975074,-7.212484989,4.563169335,-90.96719672,2.383492311,-126.102672,-5.677513023,-21.56930235,25.53960041,-31.39825316,29.31572285,33.00837067
q3,2,582,0.4852456008,591,0.4000804494,-4.183357081,-8.633966223,8.875807584,-91.34164938,3.503016144,-141.768882,-8.143605652,-26.21369599,24.91443548,-37.47274016,29.14198929,38.89438368,-5.278998012,-7.445151462,7.558247177,-91.45304011,3.82371354,-145.5371572,-9.034096055,-24.667541,25.51157086,-38.96516293,29.05591496,40.2913958
Tail,2,634,0.375179599,640,0.375179599,-8.277810819,-8.684519921,10.44152121,-91.95446123,5.50135452,-166.090625,-12.39208995,-28.09805815,25.62662078,-46.96818476,28.78204247,48.00502456,-8.277810819,-8.684519921,10.44152121,-91.95446123,5.50135452,-166.090625,-12.39208995,-28.09805815,25.62662078,-46.96818476,28.78204247,48.00502456
